english;french;level;frequency;type
vainly;vainement;B2;3;manner
vastly;largement;B2;5;degree
verbally;verbalement;B2;6;manner
very;très;A1;10;degree
viciously;violemment;C1;4;manner
victoriously;victorieusement;C1;3;manner
vigilantly;vigilamment;B2;4;manner
vigorously;vigoureusement;B2;6;manner
vilely;vilement;C1;2;manner
vindictively;vindicativement;C1;2;manner
violently;violemment;B2;6;manner
virtually;virtuellement;B2;7;degree
virtuously;vertueusement;C1;2;manner
visibly;visiblement;B1;8;manner
visually;visuellement;B2;9;manner
vivaciously;vivement;B2;4;manner
vividly;vividement;B2;5;manner
voluntarily;volontairement;B2;6;degree
voraciously;avidement;C1;3;manner
vulnerably;vulnérablement;C1;2;manner
