english;french;level;frequency
salty;salé;B1;5
sassy;impertinent;C1;3
savage;sauvage;B2;4
scary;effrayant;A2;6
scattered;éparpillé;B2;3
scenic;pittoresque;B2;5
scholarly;érudit;C1;3
scientific;scientifique;B2;8
scornful;méprisant;C1;2
secretive;secret;B2;4
sedate;posé;B2;4
seemly;convenable;C1;2
selective;sélectif;B2;5
selfish;égoïste;B1;7
sensitive;sensible;B1;8
sentimental;sentimental;B2;5
serene;serein;B2;3
serious;sérieux;A2;9
sharp;tranchant;B2;6
shiny;brillant;B1;7
shocking;choquant(e);C1;5
short;court(e);A1;10
shrill;perçant(e);C2;3
shy;timide;A2;7
silly;ridicule;B1;6
simple;simple;A2;8
simplistic;simpliste;C1;4
sincere;sincère;B2;7
skillful;habile;B2;5
sleek;élégant;B2;6
sleepy;endormi;A2;6
slim;mince;B1;5
slimy;visqueux;B2;3
slippery;glissant;B2;5
sloppy;négligé;B2;4
slow; lent;A2;6
small; petit;A1;9
smart; intelligent;B1;8
smiling; souriant;B1;5
smoggy; pollué;B2;3
smooth;lisse;B2;6
sneaky;sournois;B2;4
snobbish;snob;C1;3
snotty;mouchard;C2;2
sociable;sociable;A2;8
soft;doux/douce;A2;8
soggy;trempé(e);B2;3
solid;solide;B1;7
somber;sombre;B2;5
sophisticated;sophistiqué(e);C1;6
sordid;sordide;C1;4
sore;douloureux/douloureuse;B2;6
sorrowful;affligé/affligée;C1;3
soulful;émouvant/émouvante;C1;2
soupy;liquide/liquide;B2;3
sour;acide;A2;5
sparkling;pétillant;B2;4
special;spécial;A2;6
spectacular;spectaculaire;B2;3
spicy;épicé;A2;7
spiffy;élégant;B2;3
spirited;animé;B2;4
spiteful;rancunier;C1;2
splendid;splendide;B2;5
spotless;impeccable;B2;6
spotted;tacheté;B2;5
spry;alerte;C1;2
spurious;fallacieux;C2;2
squalid;sordide;C2;2
square;carré;A2;8
squeaky;qui couine;B1;5
squealing;criard;B2;3
squeamish;délicat;B2;2
stale;rassis;B2;4
standing;debout;A2;6
statuesque;statuesque;C1;2
steadfast;inébranlable;C1;4
steady;stable;B2;6
steep;raide;B2;5
stereotyped;stéréotypé;C1;3
sticky;collant;A2;7
stiff;rigide;B2;6
stimulating;stimulant;B2;5
stingy;radin;B2;3
stormy;orageux;B2;5
stout;corpulent;B2;4
straight;droit;B1;7
strange;étrange;A2;8
strict;strict;B2;6
strident;strident;C1;3
striking;frappant;B2;6
striped;rayé;A2;4
strong;fort;A2;9
stubborn;têtu;B2;5
stunning;éblouissant;B2;6
stupendous;stupéfiant;C1;3
stupid;stupide;A2;8
sturdy;robuste;B2;5
subdued;sombre;C1;4
subsequent;ultérieur;C1;6
substantial;substantiel(le);B2;6
subtle;subtil(e);B2;5
successful;réussi(e);B1;8
succinct;succinct(e);C1;4
sudden;soudain(e);B1;7
sulky;maussade;B2;3
sunny;ensoleillé;A2;6
super;super;B1;8
superb;superbe;B2;5
superficial;superficiel;B2;4
supreme;suprême;C1;6
svelte;svelte;C1;4
swanky;chic;B2;3
sweaty;sueur;B2;4
sweet;doux;A2;10
sweltering;étouffant;B2;4
swift;rapide;B2;6
sympathetic;sympathique;B2;5
symptomatic;symptomatique;C1;3
synonymous;synonyme;C1;4
syrupy;sirupeux/se;B2;3
systematic;systématique;B2;6
