english;french;level;frequency;type;info
to bake;cuire au four;A2;6
to bathe;se baigner;A2;5
to behave;se comporter;B2;6
to believe;croire;A2;8
to bend;plier;B1;6
to bet;parier;B2;5
to bid;offrir;B2;5
to bind;lier;B2;5
to bite;mordre;A2;7
to blow;souffler;A2;7
to boast;se vanter;B2;5
to borrow;emprunter;A2;6
to bounce;rebondir;B2;4
to bow;s'incliner;B2;4
to box;boxer;B2;4
to braid;tresser;B2;3
to break;casser;A2;10
to breathe;respirer;A2;7
to bring;apporter;A1;10
to broadcast;diffuser;B2;5
to brush;brosser;A2;6
to build;construire;B1;7
to burn;brûler;B2;5
to bury;enterrer;B2;3
to buy;acheter;A1;10
