english;french;level;frequency;type;info
to dance;danser;A1;7
to dare;oser;B2;5
to deal;traiter;B2;6
to debate;débattre;B2;4
to decay;décliner;C2;2
to deceive;tromper;C1;3
to decide;décider;A2;8
to decorate;décorer;B1;5
to dedicate;dédier;C1;2
to defend;défendre;A2;8
to define;définir;B2;6
to delay;retarder;B2;4
to delete;supprimer;B2;5
to deliver;livrer;B2;5
to demand;exiger;B2;6
to demonstrate;démontrer;B2;5
to denounce;dénoncer;B2;4
to depend;dépendre;A2;6
to describe;décrire;B1;6
to deserve;mériter;B2;5
to design;concevoir;B2;6
to destroy;détruire;B2;6
to detect;détecter;B2;5
to develop;développer;B2;6
to devote;consacrer;B2;4
to diagnose;diagnostiquer;C1;3
to dictate;dicter;B2;3
to die;mourir;A2;10
to differ;différer;B2;3
to dig;creuser;A2;5
to digest;digérer;B2;5
to diminish;diminuer;B2;5
to dine;dîner;A2;4
to dip;tremper;B1;4
to direct;diriger;B2;5
to disagree;ne pas être d'accord;B1;4
to disappear;disparaître;A2;5
to discover;découvrir;A2;6
to discuss;discuter;B1;6
to dislike;ne pas aimer;A2;4
to distinguish;distinguer;B2;6
to distribute;distribuer;B1;6
to disturb;déranger;B1;5
to dive;plonger;B1;4
to divide;diviser;B1;6
to do;faire;A1;10
to document;documenter;C1;3
to dominate;dominer;B2;5
to donate;donner;B2;4
to doubt;douter;B1;5
to download;télécharger;B1;8
to drag;traîner/glisser;B2;6
to draw;dessiner/tirer;B1;7
to dream;rêver;B1;5
to dress;s'habiller;A2;6
to drink;boire;A1;10
to drive;conduire;A2;9
to drop;laisser tomber;B2;5
