english;french;level;frequency;type
Safely;Sûrement;B2;6
Satisfactorily;Satisfaisamment;B2;4
Seductively;Séductivement;C1;2
Sensibly;Sensément;B2;4
Seriously;Sérieusement;A2;8
Sincerely;Sincèrement;B2;6
Skeptically;Sceptiquement;C1;3
Slowly;Lentement;A1;9
Slyly;Sournoisement;C1;2
Smoothly;En douceur;B2;5
Softly;Douxement;B1;5
Solemnly;Solennellement;B2;3
Sorrowfully;Tristement;C1;2
Steadily;Firmement;B2;4
Strangely;Étrangement;B1;5
Strenuously;Vigoureusement;C1;2
Subtly;Subtilement;B2;4
Suddenly;Soudainement;A2;7
Supposedly;Soi-disant;B2;3
Synchronously;Synchronement;C2;1
