english;french;level;frequency;type
a quack;un charlatan;B2;2;CONCRETE
a quadrant;un quadrant;B2;3;CONCRETE
a qualification;une qualification;B2;7;ABSTRACT
a quality;une qualité;A2;10;ABSTRACT
a quango;un organisme parapublic;C1;4;ABSTRACT
a quantity;une quantité;B2;6;ABSTRACT
a quark;un quark;C1;2;CONCRETE
a quarry;une carrière;B2;4;CONCRETE
a quarter;un quart;A2;8;CONCRETE
a quasar;un quasar;C1;3;CONCRETE
a quaver;une croche;B1;3;CONCRETE
a quay;un quai;B2;5;CONCRETE
a queen;une reine;A2;4;CONCRETE
a quench;étancher;C1;2;ABSTRACT
a question;une question;A1;10;ABSTRACT
a queue;une file;B2;8;CONCRETE
a quiche;une quiche;A2;5;CONCRETE
a quickstep;un quickstep;B2;3;CONCRETE
a quid;un pound;B2;3;CONCRETE
a quilt;un quilt;B2;4;CONCRETE
a quinoa;une quinoa;A2;5;CONCRETE
a quintet;un quintette;B2;3;CONCRETE
a quip;un trait d'esprit;C1;2;ABSTRACT
a quiver;un frémissement;B2;3;CONCRETE
a quote;une citation;B1;6;ABSTRACT
