english;french;level;frequency;type;info
to wait;attendre;A2;6
to walk;marcher;A1;9
to wander;errer;B2;3
to want;vouloir;A2;10
to warm;réchauffer;B1;4
to warn;avertir;B2;5
to wash;laver;A1;9
to waste;gaspiller;B2;4
to watch;regarder;A1;9
to water;arroser;B1;5
to wave;agiter;A2;5
to waver;vaciller;C1;3
to wear;porter;A1;10
to weave;tisser;B2;4
to weep;pleurer;A2;5
to weigh;peser;A2;6
to welcome;accueillir;B1;6
to wend;cheminer;C2;2
to wet;mouiller;A2;6
to whine;gémir;C1;2
to whip;fouetter;B2;4
to whirl;tournoyer;C1;2
to whisper;chuchoter;B1;4
to whistle;siffler;B1;4
to win;gagner;A2;10
to wind;enrouler;B2;3
to wink;faire un clin d'œil;B2;3
to wipe;essuyer;A2;6
to wish;souhaiter;A2;8
to withdraw;se retirer;B2;5
to withhold;retenir;C1;5
to withstand;résister;C1;4
to wonder;se demander;B1;5
to work;travailler;A1;10
to worry;s'inquiéter;B1;6
to worship;adorer;B2;3
to wound;blesser;C1;4
to wrap;envelopper;B2;5
to wreck;détruire;C1;3
to wrestle;lutter;B2;3
to wriggle;se tortiller;B1;3
to wring;tordre;B2;4
to write;écrire;A2;10
