english;french;level;frequency;type
Painfully;Péniblement;B2;5
Partially;Partiellement;B2;6
Passionately;Passionnément;B2;5
Patiently;Patiamment;B1;6
Peacefully;Paisiblement;B2;5
Pensively;Pensivement;C1;3
Perfectly;Parfaitement;B1;7
Playfully;Joueusement;B2;5
Pleasantly;Agréablement;B1;7
Pleasurably;Plaisamment;C1;4
Politely;Poliment;B2;6
Poorly;Mal;B1;5
Positively;Positivement;B2;6
Powerfully;Puissamment;C1;4
Precisely;Précisément;B2;6
Professionally;Professionnellement;B2;5
Promptly;Promptement;B2;5
Properly;Correctement;B1;6
Proudly;Fièrement;B2;5
Publicly;Publiquement;B2;6
