english;french;level;frequency;type
a face;un visage;A2;9
a factory;une usine;A2;6
a faith;une foi;B2;5
a family;une famille;A1;10
a fan;un ventilateur;A2;5
a farm;une ferme;A2;6
a fashion;la mode;B2;6
a father;un père;A1;10
a fault;un défaut;B2;5
a fear;une peur;A2;9
a feather;une plume;B1;4
a feature;une caractéristique;B2;6
a fee;des frais;B2;5
a feed;une alimentation;B2;4
a feeling;un sentiment;B1;6
a female;une femme;A2;6
a fence;une clôture;B2;4
a festival;un festival;B2;5
a fiber;une fibre;B2;4
a fiction;une fiction;B2;5
a field;un champ;A2;5
a figure;une figure;B2;6
a file;un fichier;A2;7
a film;un film;A2;10
a filter;un filtre;B2;4
a finance;une finance;C1;3
a finger;un doigt;A1;9
a finish;une finition;B2;5
a fire;un feu;A1;10
a fireman;un pompier;A2;8
a firm;une entreprise;B2;6
a fish;un poisson;A1;10
a fisherman;un pêcheur;A2;4
a fist;un poing;B2;3
a fitness;une forme physique;B1;4
a flag;un drapeau;A2;7
a flame;une flamme;B2;5
a flavor;une saveur;B2;4
a fleet;une flotte;B2;4
a flight;un vol;A2;9
a flood;une inondation;B2;5
a floor;un plancher;A2;8
a flour;une farine;A2;6
a flower;une fleur;A1;9
a flowerpot;un pot de fleurs;B1;4
a flu;une grippe;B2;5
a fluid;un fluide;B2;4
a fly;une mouche;A2;8
a foam;une mousse;B2;4
a focus;une mise au point;B2;6
a fog;un brouillard;B1;5
a fold;un pli;B2;4
a folk;un peuple;B2;4
a food;une nourriture;A2;8
a fool;un imbécile;B2;5
a foot;un pied;A1;9
a footstep;une empreinte de pas;B2;3
a force;une force;B2;7
a forecast;une prévision;B2;6
a forehead;un front;A2;6
a forest;une forêt;B2;6
a fork;une fourchette;A1;8
a forklift;un chariot élévateur;B2;2
a form;un formulaire;B2;5
a format;un format;B2;6
a formula;une formule;B2;6
a fortune;une fortune;B2;4
a forum;un forum;B2;6
a fossil;un fossile;B2;4
a foundation;une fondation;B2;6
a fountain;une fontaine;B2;4
a fox;un renard;A2;5
a foxhound;un foxhound;B2;2
a fraction;une fraction;B1;6
a frame;un cadre;B2;5
a framework;un cadre;C1;4
a fraud;une fraude;C1;3
a freedom;une liberté;B2;6
a freezer;un congélateur;B2;4
a frequency;une fréquence;B2;6
a fridge;un réfrigérateur;A2;8
a friend;un ami;A1;9
a friendliness;une amabilité;B2;2
a frog;une grenouille;A2;5
a frogman;un homme-grenouille;C1;1
a front;un front;B2;6
a frost;un gel;B2;3
a fruit;un fruit;A1;10
a fruitcake;un gâteau aux fruits;C1;1
a fuel;un carburant;B2;8
a fulfillment;un accomplissement;B2;4
a fullback;un arrière;B2;2
a function;une fonction;A2;8
a fund;un fonds;B2;5
a funeral;un enterrement;B1;6
a fungus;un champignon;B2;3
a furniture;un meuble;A2;7
a furnituremaker;un ébéniste;C1;1
a fury;une fureur;C1;3
a fuse;un fusible;B2;4
fuss;agitation;B1;5
