english;french;level;frequency;type;info
to eat;manger;A1;10
to embrace;embrasser;B2;5
to endure;endurer;C1;3
to enjoy;apprécier;B1;8
to enlighten;éclairer;C2;2
to enlist;s'engager;B2;4
to enrage;enrager;C1;2
to enrich;enrichir;B2;5
to enroll;s'inscrire;A2;6
to entertain;divertir;B1;7
to envy;envier;B2;4
to equip;équiper;B1;5
to erase;effacer;B2;4
to establish;établir;B2;6
to estimate;estimer;B2;5
to evacuate;évacuer;B2;5
to evaluate;évaluer;B2;6
to evaporate;évaporer;B2;3
to evict;expulser;C1;3
to evoke;évoquer;B2;5
to evolve;évoluer;B2;5
to exaggerate;exagérer;B2;4
to examine;examiner;B2;6
to exchange;échanger;B1;6
to excite;exciter;B2;5
to excuse;excuser;B1;5
to execute;exécuter;B2;5
to exercise;exercer;B1;6
to exhibit;exposer;B2;5
to exist;exister;A2;7
to expand;étendre;B2;6
to expect;s'attendre à;B1;7
to experience;expérimenter;B2;5
to experiment;expérimenter;B2;5
to explain;expliquer;A2;9
to explode;exploser;B2;3
to explore;explorer;B2;4
to export;exporter;B2;5
to express;exprimer;B1;7
to extend;étendre;B2;5
extract;extraire;B2;5
