english;french;level;frequency;type;info
to gather;rassembler;B2;6
to gaze;regarder fixement;B2;5
to get;obtenir;A2;10
to give;donner;A1;10
to glance;jeter un coup d'œil;B2;4
to glare;regarder fixement;C1;3
to glide;glisser;B2;3
to glimpse;apercevoir;C1;3
to gnaw;ronger;C2;1
to go;aller;A1;10
to gobble;engloutir;B1;3
to gossip;colporter des ragots;B2;4
to grab;saisir;B1;6
to graduate;obtenir son diplôme;B2;5
to grant;accorder;B2;5
to grasp;saisir;B2;6
to grease;graisser;B2;3
to greet;saluer;A2;6
to grill;griller;B1;5
to grimace;grimacer;C1;3
to grin;sourire largement;B1;4
to grind;moudre;B2;5
to grip;saisir;B2;6
to groan;gémir;C1;3
to grow;grandir;A2;6
to growl;gronder;C1;2
to grumble;ronchonner;B2;4
to grunt;grogner;C1;3
to guarantee;garantir;B2;7
to guard;garder;A2;8
to guess;deviner;B1;6
to guide;guider;B2;5
to gulp;engloutir;B2;4
to gurgle;gargouiller;B2;3
to gush;jaillir;C1;4
to gut;éviscérer;C1;3
to guzzle;engloutir;C2;3
