english;french;level;frequency;type
macaroni;macaroni;A2;5;CONCRETE
macaroon;macaron;B2;2;CONCRETE
machine;machine;A2;10;CONCRETE
mackerel;maquereau;B2;3;CONCRETE
magazine;magazine;A2;10;CONCRETE
man;homme;A1;9;CONCRETE
mandarin;mandarin;B2;4;CONCRETE
mango;mangue;B2;3;CONCRETE
mansion;manoir;B2;5;CONCRETE
map;carte;A2;10;CONCRETE
maple;érable;A2;5;CONCRETE
marble;marbre;B2;6;CONCRETE
marmalade;marmelade;B2;3;CONCRETE
marriage;mariage;B2;8;ABSTRACT
marshmallow;guimauve;B2;2;CONCRETE
masterpiece;chef-d'œuvre;C1;4;CONCRETE
material;matériel;B2;8;ABSTRACT
mayor;maire;B2;5;CONCRETE
meat;viande;A2;9;CONCRETE
mechanic;mécanicien;B1;6;CONCRETE
medal;médaille;B1;6;CONCRETE
medicine;médicament;B1;8;CONCRETE
meditation;méditation;B2;4;ABSTRACT
megaphone;mégaphone;B2;3;CONCRETE
melody;mélodie;B2;5;ABSTRACT
member;membre;B2;6;CONCRETE
memory;mémoire;B1;7;CONCRETE
message;message;A2;8;CONCRETE
method;méthode;B1;7;ABSTRACT
microphone;microphone;B2;5;CONCRETE
microscope;microscope;B2;4;CONCRETE
milk;lait;A1;10;CONCRETE
milkshake;milkshake;B2;3;CONCRETE
millionaire;millionnaire;B2;4;ABSTRACT
minivan;monospace;B2;2;CONCRETE
miracle;miracle;B2;4;ABSTRACT
mirror;miroir;A2;8;CONCRETE
missile;missile;B2;5;CONCRETE
mission;mission;B2;6;ABSTRACT
mist;brume;B2;4;CONCRETE
mistake;erreur;B2;8;ABSTRACT
mitten;moufle;A2;3;CONCRETE
moat;fossé;B2;4;CONCRETE
modem;modem;B2;7;CONCRETE
module;module;B2;9;ABSTRACT
molecule;molécule;B2;6;CONCRETE
moment;moment;B2;7;CONCRETE
momentum;quantité de mouvement;B2;4;ABSTRACT
monarchy;monarchie;B2;5;ABSTRACT
money;argent;A2;10;CONCRETE
monitor;moniteur;B2;8;CONCRETE
monkey;singe;A2;5;CONCRETE
monster;monstre;B2;6;CONCRETE
montage;montage;B2;4;CONCRETE
month;mois;A1;10;ABSTRACT
mood;humeur;B2;7;ABSTRACT
moodiness;maussaderie;C1;2;ABSTRACT
moon;lune;A2;9;CONCRETE
morality;morale;B2;6;ABSTRACT
moratorium;moratoire;C1;4;ABSTRACT
morphology;morphologie;C1;5;ABSTRACT
mortality;mortalité;B2;7;ABSTRACT
mosaic;mosaïque;B2;6;CONCRETE
mosquito;moustique;A2;8;CONCRETE
motel;motel;A2;4;CONCRETE
mother;mère;A1;10;CONCRETE
motor;moteur;B2;8;CONCRETE
motorbike;moto;B1;5;CONCRETE
motorboat;bateau à moteur;B2;3;CONCRETE
motorcade;cortège;C1;2;CONCRETE
motorcycle;moto;B1;6;CONCRETE
motorhome;camping-car;B2;4;CONCRETE
mountain;montagne;A2;9;CONCRETE
mountainous;montagneux(se);B2;5;ABSTRACT
mouse;souris;A1;10;CONCRETE
mouth;bouche;A2;9;CONCRETE
mouthful;bouchée;B2;4;CONCRETE
movement;mouvement;B1;8;ABSTRACT
movie;film;A2;10;CONCRETE
muffin;muffin;A2;5;CONCRETE
muffler;silencieux;B1;5;CONCRETE
mulberry;mûrier;B2;3;CONCRETE
mullet;mulet;B2;3;CONCRETE
mumble;marmonner;B2;4;ABSTRACT
mumps;oreillons;B2;4;CONCRETE
murder;meurtre;B2;6;CONCRETE
muscle;muscle;A2;8;CONCRETE
muscleman;homme musclé;B2;2;CONCRETE
musculature;musculature;C1;3;CONCRETE
museum;musée;A2;10;CONCRETE
mushroom;champignon;A2;5;CONCRETE
music;musique;A2;10;ABSTRACT
musician;musicien;A2;6;CONCRETE
musicologist;musicologue;B2;2;CONCRETE
musketeer;mousquetaire;B2;3;CONCRETE
mustard;moutarde;A2;5;CONCRETE
mystery;mystère;B2;6;ABSTRACT
