english;french;level;frequency
Lacy;Dentelle;B1;4
Lacy-dressed;habillé de dentelle;C1;2
Lanky;Dégingandé;B2;3
Lanky-limbed;Aux membres dégingandés;C2;1
Lanky-looking;Aspect dégingandé;C1;1
Lavender-scented;parfumé à la lavande;B2;5
Lavish;somptueux;C1;6
Lavish-living;vie somptueuse;C1;3
Lazy;paresseux;A2;8
Lethal;mortel;C1;7
Lethal-looking;à l'air mortel;C1;3
Liberal;libéral;B2;6
Liberal-minded;d'esprit libéral;C1;4
Light;léger;A2;10
Light-hearted;insouciant;B2;5
Limited;Limité(e);B1;6
Limited-edition;Édition limitée;B2;5
Lively;Animé(e);B1;7
Lively-eyed;Aux yeux vifs;C1;2
Lively-minded;D'esprit vif;C1;3
Lively-spirited;Animé;B2;5
Lofty;Élevé;C1;3
Logical;Logique;B2;6
Lonely;Solitaire;B1;5
Long;Long;A1;10
Loud;Bruyant;B2;6
Loud-mouthed;Grand-gueule;C1;2
Lovable;Aimable;B2;4
Lovable-faced;Au visage aimable;C1;1
Lovely;Agréable;B1;8
Loving;Affectueux(se);B2;6
Loving-hearted;Au cœur aimant;C1;2
Low;Bas(se);B1;8
Loyal;Loyal(e);B2;7
Loyal-hearted;Au cœur loyal;C1;2
Loyal-minded;Fidèle d'esprit;B2;3
Lucid;Lucide;B2;5
Lucid-minded;Clair d'esprit;B2;3
Lucky;Chanceux;A2;6
Luminous;Lumineux;B2;4
Luminous-eyed;Aux yeux lumineux;B2;3
Luminous-skinned;À la peau lumineuse;B2;2
Lunar;Lunaire;B2;4
Lunar-inspired;Inspiré par la lune;B2;2
Lush;Luxuriant;C1;5
Lush-haired;Aux cheveux luxuriants;B2;3
Lush-lipped;Aux lèvres pulpeuses;C1;2
Luxurious;Luxueux;B2;6
Lyrical;Lyrique;B2;4
Lyrical-voiced;À la voix lyrique;C1;2
