english;french;level;frequency;type
Eagerly;Avidement;B2;6
Easily;Facilement;A2;10
Economically;Économiquement;B2;5
Efficiently;Efficacement;B2;6
Elegantly;Élégamment;C1;4
Eloquently;Éloquemment;C1;3
Emphatically;Avec force;C1;4
Endlessly;Sans fin;C1;3
Enthusiastically;Avec enthousiasme;B2;6
Equally;Également;B2;7
Especially;Particulièrement;B2;7
Essentially;Essentiellement;B2;6
Eternally;Éternellement;C1;3
Evenly;Uniformément;B2;4
Ever;Jamais;B1;5
Everywhere;Partout;A2;8
Evidently;Manifestement;B2;6
Exceedingly;Excessivement;C1;3
Exclusively;Exclusivement;B2;5
Expediently;Expéditivement;C1;2
