english;french;level;frequency;type
A nail;Un clou;A2;8;CONCRETE
A name;Un nom;A1;10;ABSTRACT
A napkin;Une serviette;A2;5;CONCRETE
A narwhal;Un narval;B2;1;CONCRETE
A nation;Une nation;B2;7;ABSTRACT
A nature;Une nature;B2;5;ABSTRACT
A necklace;Un collier;A2;6;CONCRETE
A nectar;Un nectar;B2;3;CONCRETE
A nectarine;Une nectarine;B2;2;CONCRETE
A needle;Une aiguille;A2;8;CONCRETE
A needlepoint;Un point de croix;B1;2;CONCRETE
A needlework;Un ouvrage de couture;B2;3;CONCRETE
A negligence;Une négligence;C1;4;ABSTRACT
A negotiation;Une négociation;B2;5;ABSTRACT
A neighbor;Un voisin;A2;8;CONCRETE
A nephew;Un neveu;A2;5;CONCRETE
A nerd;Un nerd;B2;3;CONCRETE
A nest;Un nid;A2;6;CONCRETE
A nestling;Un oisillon;B2;2;CONCRETE
A net;Un filet;B1;7;CONCRETE
A network;Un réseau;B2;8;CONCRETE
A neurology;Une neurologie;B2;4;ABSTRACT
A neurosis;Une névrose;C1;3;ABSTRACT
A newspaper;Un journal;A2;10;CONCRETE
A newsreel;Un journal filmé;B2;2;CONCRETE
A night;Une nuit;A2;9;CONCRETE
A nightgown;Une chemise de nuit;B1;4;CONCRETE
A nightingale;Un rossignol;B2;3;CONCRETE
A nightmare;Un cauchemar;B1;7;ABSTRACT
A nihilism;Un nihilisme;C1;2;ABSTRACT
A nimbus;Un nimbe;B2;3;CONCRETE
A nipple;Un mamelon;B2;4;CONCRETE
A nipplewort;Une cressonnière;C1;1;CONCRETE
A nitrate;Un nitrate;B2;4;CONCRETE
A nitrogen;Un azote;B2;9;CONCRETE
A nobility;Une noblesse;C1;3;ABSTRACT
A node;Un nœud;B2;5;CONCRETE
A nodulation;Une nodulation;C1;1;CONCRETE
A noise;Un bruit;A2;9;CONCRETE
A noiselessness;Une quiétude;C2;2;ABSTRACT
Nomadism;Le nomadisme;B2;3;ABSTRACT
Nonchalance;La nonchalance;B2;4;ABSTRACT
Nonentity;L'inexistence;C1;2;ABSTRACT
Nonfiction;La non-fiction;B2;3;ABSTRACT
Nonviolence;La non-violence;B2;4;ABSTRACT
A noodle;Un nouille;A2;7;CONCRETE
A normalcy;Une normalité;C1;3;ABSTRACT
A north;Un nord;A2;6;CONCRETE
A nose;Un nez;A1;9;CONCRETE
A nostalgia;Une nostalgie;B2;4;ABSTRACT
A notation;Une notation;B2;6;ABSTRACT
A notebook;Un cahier;A2;8;CONCRETE
A nothingness;Un néant;C1;2;ABSTRACT
A notification;Une notification;B2;5;CONCRETE
A notion;Une notion;B1;7;ABSTRACT
A notionality;Une notionnalité;C1;2;ABSTRACT
A nourishment;Un aliment;B2;5;CONCRETE
A novel;Un roman;B2;8;ABSTRACT
A novella;Une nouvelle;B2;4;ABSTRACT
A nucleation;Une nucléation;C1;1;ABSTRACT
A nucleolus;Un nucléole;B2;2;CONCRETE
A nucleus;Un noyau;B2;9;CONCRETE
A nudity;La nudité;B2;3;ABSTRACT
A nullification;Une nullification;C1;1;ABSTRACT
A number;Un nombre;A1;10;CONCRETE
A numeracy;Une numératie;B1;3;ABSTRACT
A numeration;Une numération;B2;5;ABSTRACT
A nun;Une religieuse;A2;4;CONCRETE
A nurse;Une infirmière;B1;8;CONCRETE
A nursemaid;Une nourrice;B2;2;CONCRETE
A nursery;Une pépinière;B1;4;CONCRETE
A nut;Une noix;A2;7;CONCRETE
A nutcracker;Un casse-noix;B2;3;CONCRETE
A nutmeg;Une noix de muscade;B2;2;CONCRETE
A nutriment;Un nutriment;C1;3;ABSTRACT
A nutrition;Une nutrition;B2;5;ABSTRACT
A nutritionist;Un nutritionniste;B2;4;CONCRETE
A nylon;Un nylon;A2;6;CONCRETE
A nymph;Une nymphe;B2;2;CONCRETE
A nymphomania;Une nymphomanie;C1;2;ABSTRACT
Nystagmus;Nystagmus;C1;3;CONCRETE
