english;french;level;frequency
Magical;Magique;B2;5
Magnificent;Magnifique;B2;6
Majestic;Majestueux;C1;4
Malleable; Malléable;C2;2
Marvelous;Merveilleux;B2;5
Masculine;Masculin;B2;5
Mature;Mature;B2;6
Measured;Mesuré;C1;3
Mellow;Doux;B2;4
Melodic;Mélodique;B2;5
Meritorious;Méritoire;C1;4
Metaphysical;Métaphysique;C1;3
Methodical;Méthodique;B2;6
Meticulous;Méticuleux;C1;5
Mettlesome;Énergique;C2;2
Microscopic;Microscopique;C1;4
Middle-aged;D'âge moyen;B2;5
Mighty;Puissant;C1;3
Mild;Doux;B1;6
Mindful;Conscient;C1;4
Miraculous;Miraculeux/se;B2;5
Mischievous;Malicieux/se;C1;3
Misleading;Trompeur/se;B2;4
Misunderstood;Incompris/e;B2;3
Mixed;Mélangé/e;B1;6
Modern;Moderne;B2;8
Modernistic;Moderniste;C1;4
Modest;Modeste;B2;6
Momentous;Important;C2;3
Monstrous;Monstrueux;C1;5
Monumental;Monumental;C1;5
Moody;Lunatique;B2;6
Moral;Moral;B2;7
Motivated;Motivé;B2;6
Mournful;Affligé;C1;3
Mouthwatering;alléchant;B2;6
Muddy;boueux;B2;4
Muffled;étouffé;C1;3
Multicolored;multicolore;A2;5
Multicultural;multiculturel;B2;6
Multidimensional;Multidimensionnel;C1;5
Multifaceted;Multifacette;C1;4
Multifarious;Multifacette;C2;3
Multilingual;Multilingue;B2;6
Musical;Musical;A2;8
Mutual;Mutuel;B1;6
Mysterious;Mystérieux/-se;B2;7
Mystic;Mystique;B2;5
