english;french;level;frequency;type;info
to ignite;allumer;B2;5
to illuminate;éclairer;B2;6
to illustrate;illustrer;B2;6
to imagine;imaginer;A2;7
to imitate;imiter;B1;5
to impair;nuire;C2;3
to implement;mettre en œuvre;B2;6
to impose;imposer;B2;6
to impress;impressionner;B1;6
to imprint;imprimer;B2;4
to imprison;emprisonner;C1;5
to improve;améliorer;B1;8
to inaugurate;inaugurer;C1;3
to incite;inciter;C1;4
to include;inclure;B2;7
to incorporate;incorporer;B2;6
to increase;augmenter;B1;9
to indicate;indiquer;B1;8
to induce;induire;C1;4
to indulge;s'adonner;C1;3
to infect;infecter;B2;5
to influence;influencer;B2;6
to inform;informer;A2;8
to infuse;infuser;C1;3
to initiate;initier;B2;5
to innovate;innover;B2;4
to inquire;s'enquérir;C1;2
to inscribe;inscrire;B2;4
to insert;insérer;B2;5
to insinuate;insinuer;C1;3
to insist;insister;B2;6
to inspect;inspecter;B2;5
to inspire;inspirer;B2;6
to install;installer;B1;6
to instruct;instruire;B2;6
to insult;insulter;B2;5
to intend;avoir l'intention de;B1;6
to intensify;intensifier;B2;5
to interact;interagir;B2;5
to intercept;intercepter;C1;4
to interest;intéresser;B1;7
to interfere;interférer;B2;4
to intervene;intervenir;B2;5
to introduce;introduire;A2;7
to invent;inventer;B1;5
to invest;investir;B2;5
to invite;inviter;A2;8
to irritate;irriter;B2;4
to isolate;isoler;B2;5
to issue;émettre;B2;6
