english;french;level;frequency;type
an eagle;un aigle;B2;4
an ear;une oreille;A2;8
an edge;un bord;B2;5
an egg;un oeuf;A1;9
an elbow;un coude;A2;6
an elephant;un éléphant;A2;4
an elevator;un ascenseur;A2;5
an end;une fin;A2;7
an engine;un moteur;A2;6
an entrance;une entrée;A2;7
an envelope;une enveloppe;A2;7
an equation;une équation;B2;5
an error;une erreur;A2;8
an essay;une dissertation;B2;4
an establishment;un établissement;B2;5
an estate;un domaine;B2;4
an event;un événement;A2;9
an examination;un examen;A2;9
an example;un exemple;A2;9
an excitement;une excitation;B2;3
an exclusion;une exclusion;B2;5
an exercise;un exercice;A2;8
an exhibition;une exposition;B2;6
an existence;une existence;B2;4
an expansion;une expansion;C1;3
an experience;une expérience;B1;9
an experiment;une expérience;B2;7
an expert;un expert;B2;6
an explanation;une explication;B1;9
an explosion;une explosion;B2;5
an export;une exportation;B2;5
an expression;une expression;B1;7
an extension;une extension;B2;6
an eye;un œil;A2;10
