english;french;level;frequency;type;info
to kayak;faire du kayak;B1;3
to keep;garder;A2;9
to kibitz;commenter;C1;1
to kibosh;anéantir;C2;1
to kick;donner un coup de pied;A2;8
to kidnap;enlever;B2;4
to kill;tuer;A2;9
to kindle;allumer;B2;4
to kiss;embrasser;A2;8
to knead;pétrir;B2;3
to kneecap;briser les genoux;C2;1
to kneel;s'agenouiller;B2;4
to knit;tricoter;A2;5
to knitpick;ergoter;C1;2
to knock;frapper;A2;7
to knockdown;abattre;C1;3
to knot;nouer;B1;6
to know;savoir;A1;10
to kowtow;faire la courbette;C2;1
