english;french;level;frequency;type;info
to falter;hésiter;B2;4
to fathom;comprendre;C1;2
to fertilize;fertiliser;B2;3
to filing;classer;B2;1
to firing;licencier;B2;3
to fishing;pêcher;B2;3
to flap;battre des ailes;B2;3
to flatter;flatter;B2;4
to flee;fuir;A2;7
to fleeing;en fuite;B2;5
to flicker;vaciller;B2;4
to fling;lancer violemment;C1;4
to flirt;flirter;B2;5
to float;flotter;A2;5
to flood;inonder;C1;5
to flounce;piquer une crise;C2;2
to flounder;patauger;C1;3
to flour;fariner;B2;2
to flourish;prospérer;C1;5
to flow;couler;B1;6
to fluff;ébouriffer;B2;2
to flush;rougir;B2;3
to flutter;voltiger;B2;2
to flying;voler;B2;3
to focus;se concentrer;B2;5
to fold;plier;A2;6
to follow;suivre;A2;8
to forbid;interdire;B2;5
to force;forcer;B1;7
to forecast;prévoir;B2;6
to foresee;prévoir;B2;5
to forgive;pardonner;B2;6
to form;former;A2;8
to forsake;abandonner;C1;3
to fortify;fortifier;B2;4
to foster;favoriser;C1;3
to found;fonder;B2;5
to frame;encadrer;C1;3
to freeze;geler;B2;5
to frequent;fréquenter;B1;6
to frighten;effrayer;B2;6
to frown;froncer les sourcils;B2;4
to fry;frire;A2;5
to fuel;alimenter;B2;5
to fulfill;accomplir;B2;5
to fumble;tâtonner;C1;3
to function;fonctionner;A2;8
to fund;financer;B2;6
to furnish;meubler;B2;5
to fuse;fusionner;C1;3
fuss;s'agiter;B1;4
