english;french;level;frequency;type;info
to falter;hésiter;B2;4;ACTION;REGULAR
to fathom;comprendre;C1;3;ACTION;REGULAR
to ferry;transporter par ferry;B2;3;ACTION;REGULAR
to fertilize;fertiliser;B2;4;ACTION;REGULAR
to flap;battre des ailes;B2;4;ACTION;REGULAR
to flatter;flatter - complimenter;B2;5;ACTION;REGULAR
to flee;fuir;A2;6;ACTION;IRREGULAR
to flicker;vaciller;C1;3;STATE;REGULAR
to flinch;tressaillir;C1;4;STATE;REGULAR
to fling;lancer;B2;6;ACTION;IRREGULAR
to flirt;flirter;B2;5;ACTION;REGULAR
to flood;inonder;B2;4;ACTION;REGULAR
to flourish;prospérer;C1;4;STATE;REGULAR
to flow;couler;B1;6;ACTION;REGULAR
to fluctuate;fluctuer;C1;5;STATE;REGULAR
to fluff;ébouriffer;B2;2;ACTION;REGULAR
to flush;rougir;B2;4;STATE;REGULAR
to flutter;voltiger;B2;3;ACTION;REGULAR
to focus;se concentrer;B1;9;STATE;REGULAR
to fold;plier;A2;8;ACTION;REGULAR
to follow;suivre;B1;7;ACTION;REGULAR
to forbid;interdire;B2;6;ACTION;REGULAR
to force;forcer;B2;5;ACTION;REGULAR
to forecast;prévoir;B2;6;STATE;REGULAR
to foresee;prévoir;C1;5;STATE;IRREGULAR
to forge;forger;C1;5;ACTION;REGULAR
to forget;oublier;A2;10;ACTION;REGULAR
to forgive;pardonner;B2;7;ACTION;REGULAR
to form;former;B1;6;ACTION;REGULAR
to forsake;abandonner;C1;3;ACTION;REGULAR
to fortify;renforcer;B2;6;ACTION;REGULAR
to foster;favoriser;B2;5;ACTION;REGULAR
to found;fonder;B2;5;ACTION;REGULAR
to frame;encadrer;B2;5;ACTION;REGULAR
to freeze;geler;B2;5;ACTION;REGULAR
to frequent;fréquenter;B2;5;ACTION;REGULAR
to fret;s'inquiéter;B2;3;STATE;REGULAR
to frighten;effrayer;B1;6;ACTION;REGULAR
to frown;froncer les sourcils;B2;4;STATE;REGULAR
to fry;frire;A2;7;ACTION;REGULAR
to fuel;alimenter;B2;5;ACTION;REGULAR
to fulfill;accomplir;B2;6;ACTION;REGULAR
to fumble;tâtonner;C1;2;ACTION;REGULAR
to function;fonctionner;A2;8;STATE;REGULAR
to fund;financer;B2;6;ACTION;REGULAR
to furnish;meubler;B2;5;ACTION;REGULAR
to fuse;fondre;B2;4;ACTION;REGULAR
to fuss;s'agiter;B2;3;ACTION;REGULAR
