english;french;level;frequency;type
Habitat;Habitat;B1;6
Hair;Cheveux;A2;8
Hamburger;Hamburger;A2;5
Hammer;Marteau;A2;5
Hand;Main;A1;10
Handicap;Handicap;B2;4
Hardship;Épreuve;C1;2
Harmony;Harmonie;B2;4
Harvest;Récolte;B2;4
Hat;Chapeau;A1;7
Hawk;Faucon;B2;4
Hazard;Danger;B2;6
Head;Tête;A1;10
Health;Santé;A2;10
Hearing;Audition;B2;4
Heart;Cœur;A2;10
Heir;Héritier;B2;3
Helicopter;Hélicoptère;A2;5
Hell;Enfer;C1;3
Help;Aider;A2;10
Herb;Herbe;B1;5
Heritage;Patrimoine;B2;6
Hero;Héros;B2;6
Heroine;Héroïne;B2;5
Hierarchy;Hiérarchie;C1;5
Highway;Autoroute;A2;8
Hike;Randonnée;B2;4
Hill;Colline;A2;7
Hint;Indice;B2;6
Hip;Hanche;B2;5
Hire;Embaucher;B1;5
History;Histoire;A2;8
Hit;Frapper;B1;6
Hobby;Passe-temps;A2;5
Hockey;Hockey;A2;4
Hold;Tenir;A2;7
Hole;Trou;A2;6
Holiday;Vacances;A1;8
Home;Maison;A1;10
Homework;Devoirs;A1;7
Homosexuality;Homosexualité;B2;5
Honest;Honnête;B2;7
Honey;Miel;A2;6
Honor;Honneur;B2;6
Hood;Capuche;B2;4
Hope;Espoir;B1;8
Horizon;Horizon;B1;6
Horn;Corne;B2;5
Horror;Horreur;B2;6
Horse;Cheval;A1;9
Hospital;Hôpital;B2;8
Host;Hôte;B2;5
Hotel;Hôtel;A2;9
Hour;Heure;A1;10
House;Maison;A1;10
Housing;Logement;B2;6
Human;Humain;B1;10
Humidity;Humidité;B2;4
Humor;Humour;B2;6
Hunger;Faim;B2;5
Hunt;Chasse;B2;5
Husband;Mari;A2;7
Hut;Cabane;A2;4
Hybrid;Hybride;B2;4
Hydrogen;Hydrogène;B2;5
Hype;Engouement;C1;6
Hypothesis;Hypothèse;B2;8
