english;french;level;frequency;type
vainly;vainement;B2;4
vastly;largement;B2;5
verbally;verbalement;B2;6
very;très;A1;10
viciously;vicieusement;C1;3
victoriously;victorieusement;C1;2
vigilantly;vigilamment;C1;4
vigorously;vigoureusement;B2;5
vilely;vilement;C1;2
vindictively;vindicativement;C1;3
violently;violemment;B2;6
virtually;virtuellement;B2;6
virtuously;vertueusement;C1;2
visibly;visiblement;B1;7
visually;visuellement;B2;6
vivaciously;vivement;C1;3
vividly;vividement;B2;5
voluntarily;volontairement;B2;6
voraciously;avidement;C1;3
vulnerably;vulnérablement;C1;2
