english;french;level;frequency
Tactful;Tactueux(se);B2;5
Tactile;Tactile;B2;6
Tactless;Peu tactueux(se);C1;3
Talkative;Bavard(e);B1;6
Tall;Grand(e);A1;9
Tantalizing;Tentant(e);C1;3
Tardy;En retard;B2;4
Tasteful;De bon goût;B2;5
Tasty;Délicieux(se);A2;8
Tawdry;De mauvais goût;C2;2
Tenacious;Tenace;C1;6
Tender;Tendre;A2;7
Tenebrous;Ténébreux;C2;2
Tense;Tendu;B1;7
Tenuous;Ténu;C1;4
Tepid;Tiède;C1;4
Terrene;Terrestre;C2;3
Terrible;Terrible;B1;8
Terrific;Formidable;B2;6
Terrigenous;Terrigène;C2;1
Territorial;Territorial;B2;5
Thirsty;Assoiffé(e);A2;6
Thorny;Épineux/Épineuse;B2;4
Thorough;Méticuleux/Méticuleuse;C1;6
Thoughtful;Attentionné(e);B2;5
Thrifty;Économe;B2;4
Throbbing;Pulsant(e);C1;2
Thuggish;Voyou;C1;2
Thunderous;Tonitruant(e);C2;2
Thwarted;Contrarié(e);C1;3
Tidy;Ordonné(e);B1;6
Tight;Serré(e);B2;7
Timid;Timide;B2;4
Tiny;Minuscule;B1;5
Tired;Fatigué(e);A2;8
Tolerant;Tolérant(e);B2;5
Tonal;Tonal(e);C1;3
Tonic;Tonique;B2;4
Topical;Actuel(le);C1;5
Torrid;Torride;C1;2
Tough;Dur;B2;6
Tranquil;Tranquille;B2;4
Transparent;Transparent;B2;6
Tremendous;Énorme;B2;5
Trenchant;Incisif;C1;2
Tricky;Difficile;B2;5
Triumphant;Triomphant;C1;3
Trustworthy;Digne de confiance;B2;4
Tumultuous;Tumultueux;C1;2
Turbulent;Turbulent;B2;5
