english;french;level;frequency
Lanky;Dégingandé;B1;3
Lavish;Somptueux;C1;4
Lazy;Paresseux;A2;8
Lethal;Mortel;C1;5
Liberal;Libéral;B2;6
Light;Léger;A2;10
Lively;Animé;B1;7
Lofty;Élevé;C1;2
Logical;Logique;B1;8
Lonely;Solitaire;B1;6
Long;Long;B1;8
Loud;Fort;B1;7
Lovely;Agréable;B1;7
Loving;Affectueux;B2;5
Loyal;Loyal;B2;6
Lucid;Lucide;C1;3
Lucky;Chanceux;B1;6
Luminous;Lumineux;C1;4
Luscious;Doux;C2;2
Lush;Luxuriant;C1;3
Lustrous;Lustré(e)-brillant(e);C1;3
Luxurious;Luxueux(se);B2;6
