english;french;level;frequency
vague;vague;B2;6
vain;vaniteux/-euse;B2;5
valiant;vaillant;C1;3
valid;valide;B2;7
valuable;précieux/-euse;B2;6
vapid;insipide;C2;2
variable;variable;B1;7
varied;varié;B2;5
vast;vaste;B2;6
vaulted;voûté;C1;2
veiled;voilé;C1;3
velvety;velouté;B2;2
venomous;venimeux;C1;3
venturous;aventureux;C1;2
veracious;véridique;C2;2
verdant;verdoyant;C1;3
veritable;véritable;B2;4
versatile;polyvalent;B2;4
vexed;vexé;C1;2
vibrant;vibrant;B2;5
vicious;vicieux/vicieuse;C1;6
vigilant;vigilant/vigilante;B2;5
vigorous;vigoureux/vigoureuse;C1;5
vile;vil/vile;C1;5
villainous;malfaisant/malfaisante;C2;2
violet;violet/violette;A2;6
virtual;virtuel/virtuelle;B2;6
virtuous;vertueux/vertueuse;C1;3
visible;visible;A2;10
vital;vital/vitale;B2;8
vivacious;vivace;B2;5
vivid;vif-éclatant;B2;6
vocal;vocal;B2;6
void;vide;B2;5
volatile;volatile;C1;6
voluptuous;voluptueux;C2;3
voracious;vorace;C1;3
vulgar;vulgaire;B2;5
vulnerable;vulnérable;B2;6
