english;french;level;frequency;type
an actor;un acteur;B2;7
an agenda;un agenda;A2;6
an aircraft;un avion;B2;8
an alarm;une alarme;A2;7
an album;un album;B1;6
an alley;une ruelle;B2;3
an alligator;un alligator;B2;2
an almond;une amande;B2;4
an ambulance;une ambulance;B1;5
an amplifier;un amplificateur;B2;3
an anchor;une ancre;B2;5
an angel;un ange;A2;4
an angle;un angle;A2;5
an ankle;une cheville;A2;4
an ant;une fourmi;A1;6
an apartment;un appartement;A1;8
an ape;un singe;A2;3
an apple;une pomme;A1;9
an apron;un tablier;A2;4
an aquarium;un aquarium;A2;4
an arch;une arche;B2;3
an architect;un architecte;B2;4
an arm;un bras;A1;8
an army;une armée;A2;6
an arrow;une flèche;A2;4
an arrowhead;une pointe de flèche;C1;1
an art;un art;B1;7
an artist;un artiste;A2;6
an artwork;une œuvre d'art;B2;3
an ashtray;un cendrier;B2;2
an astronaut;un astronaute;B2;4
an asylum;un asile;C1;2
an atlas;un atlas;B2;5
an atom;un atome;B2;6
an auction;une vente aux enchères;B2;4
an audience;un public;B2;7
an aunt;une tante;A2;8
an author;un auteur;B2;8
an avocado;un avocat;B1;6
an axe;une hache;B2;3
