english;french;level;frequency;type
Safely;Sûrement;B2;6;Manner
Seductively;Séductivement;C1;2;Manner
Sensibly;Sensément;B2;5;Manner
Seriously;Sérieusement;B1;9;Manner
Sincerely;Sincèrement;B1;10;Manner
Slowly;Lentement;A2;8;Manner
Slyly;Sournoisement;B2;4;Manner
Smoothly;En douceur;B2;6;Manner
Sneakily;Sournoisement;C1;3;Manner
Softly;Doucement;A2;8;Manner
Solemnly;Solennellement;B2;5;Manner
Sorrowfully;Tristement;B2;4;Manner
Steadily;Firmement;B2;6;Manner
Strangely;Étrangement;B1;6;Manner
Strenuously;Ardemment;C1;3;Manner
Subtly;Subtilement;B2;4;Manner
Suddenly;Soudainement;A2;9;Manner
Supposedly;Soi-disant;B2;5;Degree
Swiftly;Rapidement;B2;6;Manner
Systematically;Systématiquement;C1;5;Manner
