english;french;level;frequency;type
Yare;Agilement;B2;2;Manner
Yarely;Agilement;C1;1;Manner
Yawningly;Bâillement;C2;1;Manner
Yea;Oui;B2;3;Degree
Yearly;Annuellement;A2;7;Frequency
Yellingly;Hurlant;C1;1;Manner
Yelpingly;Jappant;C1;1;Manner
Yesterday;Hier;A1;8;Time
Yesterday's;D'hier;B2;4;Time
Yestereve;Avant-hier soir;C1;2;Time
Yestern;d'hier;C1;1;manner
Yesternight;hier soir;B2;3;time
Yesteryear;l'année dernière;B2;4;time
Yet;encore;B1;9;frequency
Yieldingly;docilement;C2;2;manner
Yon;Là-bas;B1;2;Place
Yonder;Là-bas;B2;3;Place
Yonderward;Vers là-bas;C2;1;Direction
Yonward;Vers là-bas;C2;1;Direction
Yonwards;Vers là-bas;C2;1;Direction
Ywis;Certainement;C1;2;Manner
