english;french;level;frequency
Nappy;Couches-culottes;A2;3
Narcissistic;Narcissique;C1;4
Narrow;Étroit;B1;6
Nascent;Naissant;C2;2
Nasty;Désagréable;B2;6
National;National;A2;8
Native;Autochtone;B2;5
Natural;Naturel;A2;10
Naughty;Mauvais;B2;4
Nautical;Nautique;C1;3
Navigable;Navigable;B2;4
Near;Proche;A1;8
Neat;Soigné;B1;6
Necessary;Nécessaire;A2;10
Needy;Dans le besoin;B2;3
Negative;Négatif;B2;7
Neglected;Négligé;C1;3
Negligent;Négligent;C1;3
Nervous;Nerveux;B1;7
Nether;Inférieur;C2;2
Nett;Net;B1;3
Neurotic;Névrosé;C1;2
Neutral;Neutre;B2;6
New;Nouveau;A1;10
Newfangled;Nouvelle-fange;C2;1
Next;Prochain;B1;7
Nice;Agréable;A2;9
Nifty;Chic;C1;4
Nimble;Agile;B2;5
Nippy;Vif;C1;8
Noble;Noble;C1;6
Nocturnal;Nocturne;B2;5
Noiseless;Silencieux;C1;3
Noisome;Mauvais;C2;1
Noisy;Bruyant;B1;6
Nonchalant;Nonchalant;C1;4
Noncommittal;Évasif;C1;3
Nondescript;Banal;C1;4
Nonjudgmental;Bienveillant;C1;2
Nonpareil;Sans égal;C2;2
Nonsensical;absurde;C1;4
Nonstop;sans arrêt;B2;5
Nonverbal;non verbal;B2;3
Nonviolent;non violent;B2;4
Normal;normal;A2;10
Nostalgic;nostalgique;B2;5
Notable;remarquable;B2;6
Noteworthy;digne d'intérêt;C1;5
Nourishing;nourrissant;B2;3
Novel;nouveau;B1;7
Nubile;Nubile;C1;2
Nuclear;Nucléaire;B2;8
Nude;Nu(e);B2;5
Numb;Engourdi;B2;5
Numerous;Nombreux;B2;7
Nurturing;Nourrissant;C1;3
Nutritious;Nutritif;B2;6
Nutty;Noisette;B2;4
