english;french;level;frequency;type
Warily;Prudemment;B2;3
Warmly;Chaleureusement;B2;4
Wastefully;Gaspilleusement;C1;2
Weekly;Hebdomadairement;A2;6
Well;Bien;A2;10
Wetly;Mouillé;B2;2
Where;Où;A1;10
Wholly;Entièrement;C1;3
Why;Pourquoi;A1;10
Wickedly;Méchamment;C1;3
Wide;Largement;B2;6
Wildly;Follement;B2;4
Willingly;Volontiers;B2;5
Wistfully;Avec mélancolie;C1;2
Wonderfully;Merveilleusement;B2;5
Worriedly;Inquiètement;B2;3
Worst;Le pire;B1;7
Worthily;Dignement;C1;1
Wrongly;À tort;B2;5
Wryly;Ironiquement;C1;2
