english;french;level;frequency;type
Kaleidoscope;Kaléidoscope;B2;3;CONCRETE
Kangaroo;Kangourou;A2;5;CONCRETE
Karaoke;Karaoké;A2;6;CONCRETE
Keg;Fût;B2;4;CONCRETE
Kelp;Varech;B2;2;CONCRETE
Kernel;Noyau;B2;5;CONCRETE
Ketchup;Ketchup;A2;8;CONCRETE
Kettle;Bouilloire;A2;7;CONCRETE
Keyboard;Clavier;A2;9;CONCRETE
Keyhole;Trou de serrure;B1;4;CONCRETE
Keypad;Clavier numérique;A2;7;CONCRETE
Kick;Coup de pied;A2;6;CONCRETE
Kidney;Rein;B2;4;CONCRETE
Kilogram;Kilogramme;A1;10;CONCRETE
Kilt;Kilt;B2;3;CONCRETE
Kindergarten;Maternelle;A1;5;CONCRETE
King;Roi;B2;6;CONCRETE
Kingdom;Royaume;B2;5;ABSTRACT
Kiosk;Kiosque;B2;3;CONCRETE
Kiss;Baiser;B1;5;CONCRETE
Kit;Trousse à outils;A2;6;CONCRETE
Kitchen;Cuisine;A1;10;CONCRETE
Kite;Cerf-volant;A2;4;CONCRETE
Kitten;Chaton;A1;5;CONCRETE
Knead;Pétrir;B2;3;ABSTRACT
Kneecap;Rotule;B1;4;CONCRETE
Knife;Couteau;A2;8;CONCRETE
Knight;Chevalier;B2;3;CONCRETE
Knitting;Tricot;B1;4;ABSTRACT
Knob;Bouton;B2;5;CONCRETE
Knot;Noeud;B1;5;CONCRETE
Knowledge;Connaissance;B2;8;ABSTRACT
Krypton;Krypton;B2;2;CONCRETE
