english;french;level;frequency
jaded;lassé-e;C1;5
jagged;déchiqueté-e;B2;3
jarring;choquant-e;C1;4
jaunty;décontracté-e;B2;2
jazzy;jazzy;B2;5
jealous;jaloux/jalouse;B2;6
jejune;fade;C2;2
jiggly;flasque;B2;1
jittery;nerveux/nerveuse;B2;5
jobless;sans emploi;B2;4
jocose;jocose;C2;2
jocular;jovial;C1;3
joint;commun-joint;B2;6
jolly;joyeux;B1;5
jovial;jovial;C1;4
jovian;jovien;C1;2
joyful;joyeux/joyeuse;B2;7
joyless;sans joie;C1;4
joyous;joyeux/joyeuse;C1;5
jubilant;jubilant(e);C1;3
judgmental;critiqueur;C1;5
judicious;judicieux;C1;4
juicy;juteux;B2;5
jumbled;en désordre;B2;3
jumpy;nerveux;B2;3
junior;junior;B1;5
just;juste;A2;8
juvenile;juvénile;C1;3
