english;french;level;frequency;type
Unabashedly;Sans gêne;C1;3;Manner
Unaccountably;Inexplicablement;C1;2;Manner
Unarguably;Indéniablement;C1;4;Degree
Unbearably;Insupportablement;B2;5;Degree
Unbelievably;Inimaginablement;B2;6;Manner
Unconditionally;Inconditionnellement;C1;4;Manner
Undeniably;Indéniablement;B2;5;Manner
Undoubtedly;Indubitablement;B2;5;Manner
Unexpectedly;Inopinément;B2;5;Manner
Unfailingly;Infailliblement;C1;3;Manner
Unforgivably;Impardonnabelement;C2;2;Manner
Unfortunately;Malheureusement;B2;9;Manner
Ungraciously;De manière peu gracieuse;C1;3;Manner
Unhappily;Malheureusement;B2;7;Degree
Unilaterally;Unilatéralement;C1;4;Frequency
Unquestionably;Indubitablement;C1;5;Manner
Unwittingly;Involontairement;C1;3;Manner
Upbeat;Optimiste;B2;4;Manner
Upwardly;Vers le haut;C1;2;Place/Direction
Usually;D'habitude;A2;10;Frequency
