english;french;level;frequency
wacky;farfelu;B2;4
wandering;errant;B2;3
warm;chaud;A1;9
wary;méfiant;B2;5
wavy;ondulé;B2;4
weak;faible;A2;8
wealthy;riche;B1;5
weird;étrange;B1;7
wet;mouillé;A1;9
whimsical;fantaisiste;C1;2
white;blanc;A2;9
wide;large;B1;8
wild;sauvage;B1;7
willing;volontaire;B2;6
wiry;nerveux;C1;2
wistful;mélancolique;C1;3
witty;spirituel;C1;5
wobbly;chancelant;C2;2
wonderful;merveilleux;A2;9
wondering;se demandant;B2;4
worn;usé;B2;6
worn-out;épuisé;C1;4
wretched;misérable;B2;5
wry;ironique;C1;3
