english;french;level;frequency
Fabulous;Fabuleux(se);B2;6
Faint;Faible;B2;4
Fair;Juste-équitable;B2;6
Faithful;Fidèle;B2;5
Fake;Faux(se);B2;6
Familiar;Familier(ère);B1;6
Famous;Célèbre;B1;7
Fancy;Fantaisiste;B2;5
Fantastic;Fantastique;B1;7
Far;Loin;A1;10
Fascinating;Fascinant;B2;7
Fast;Rapide;A2;9
Fat;Gros(se);A2;8
Faulty;Défectueux(se);B2;3
Fearful;Craintif(ve);B1;4
Fearless;Intrépide;C1;3
Feisty;Énergique;C1;2
Feline;Félin(e);B2;4
Feminine;Féminin(e);A2;7
Ferocious;Féroce;C2;4
Fertile;Fertile;B2;5
Festive;Festif/ Festive;B2;4
Few;Peu;A2;8
Fierce;Féroce;B2;5
Filthy;Sale;B2;4
Fine;Bien/ Beau/ Fines/ Fine;B1;7
Firm;Ferme;B2;6
First;Premier/ Première;A1;9
Fishy;Douteux/ Qui a un goût de poisson;B2;3
Fit;En forme/ Adapté;B1;7
Five;Cinq;A1;5
Flaky;Friable;B2;4
Flaming;Flamboyant;C1;3
Flashy;Criard;B2;5
Flat;Plat;A2;8
Flawed;Défectueux;B2;5
Fleeting;Éphémère;C1;3
Flimsy;Fragile;B2;4
Flippant;Désinvolte;C1;2
Flowery;Fleuri;B2;4
Fluffy;Moelleux/Moelleuse;A2;5
Fluid;Fluide;B2;6
Flustered;Confus(e);C1;3
Fluttering;Qui voltige;B2;2
Focused;Concentré(e);B2;7
Foggy;Brumeux/Brumeuse;B2;4
Foolish;Stupide;B2;5
Forceful;Puissant(e);C1;4
Foreseeable;Prévisible;C1;3
Forgetful;Distrait(e);B2;6
