english;french;level;frequency;type
a quack;un charlatan;B2;2
a quail;une caille;A2;3
a quality;une qualité;A2;8
a quantum;un quantum;C1;4
a quark;un quark;C1;2
a quarry;une carrière;B2;4
a quarter;un quart;A2;9
a queen;une reine;A2;8
a quench;étancher;C1;2
a quest;une quête;B2;5
a questionnaire;un questionnaire;B2;5
a queue;une file;A2;7
a quibble;une chicane;C1;2
a quiche;une quiche;A2;4
a quickstep;un quickstep;C1;1
a quietus;un repos éternel;C2;1
a quill;une plume;B2;3
a quilt;un quilt;B2;3
a quince;un coing;B2;2
a quinoa;une quinoa;B2;4
a quintet;un quintette;B2;4
a quintillion;un quintillion;C2;1
a quip;un trait d'esprit;C1;2
a quorum;un quorum;C2;3
