english;french;level;frequency;type
The ladder;L'échelle;A2;6;CONCRETE
The lady;La dame;A2;5;CONCRETE
The ladybug;La coccinelle;A2;4;CONCRETE
The lagoon;Le lagon;B2;3;CONCRETE
The lake;Le lac;A2;8;CONCRETE
The lamb;L'agneau;A2;4;CONCRETE
The lamp;La lampe;A2;7;CONCRETE
The landmark;Le point de repère;B2;3;CONCRETE
The language;La langue;A2;10;ABSTRACT
The lantern;La lanterne;B2;5;CONCRETE
The lap;Le tour;B1;4;CONCRETE
The lapel;Le revers;B2;3;CONCRETE
The laptop;L'ordinateur portable;B1;8;CONCRETE
The lard;La graisse de porc;B2;2;CONCRETE
The laser;Le laser;B2;6;CONCRETE
The lattice;Le treillis;B2;3;CONCRETE
The laughter;Le rire;B2;4;ABSTRACT
The laundry;La lessive;A2;5;CONCRETE
The laureate;Le lauréat;C1;2;CONCRETE
The lavender;La lavande;A2;6;CONCRETE
The lawn;La pelouse;A2;5;CONCRETE
The lawsuit;Le procès;B2;4;ABSTRACT
The layer;La couche;B1;3;CONCRETE
The layout;La mise en page;B2;6;CONCRETE
The leader;Le leader;B2;8;ABSTRACT
The leaf;La feuille;A2;7;CONCRETE
The league;La ligue;B2;6;ABSTRACT
The leakage;La fuite;B2;3;CONCRETE
The learning;L'apprentissage;B2;5;ABSTRACT
The leash;La laisse;B1;4;CONCRETE
The leather;Le cuir;B2;6;CONCRETE
The lecture;La conférence;B2;5;ABSTRACT
The lecturer;Le conférencier;B2;4;CONCRETE
The leg;La jambe;A2;8;CONCRETE
The legacy;L'héritage;C1;4;ABSTRACT
The legend;La légende;B2;5;ABSTRACT
The legislature;Le législateur;C1;3;ABSTRACT
The leisure;Les loisirs;B2;6;ABSTRACT
The lemon;Le citron;A2;8;CONCRETE
The lemonade;La limonade;A2;7;CONCRETE
The length;La longueur;B1;6;CONCRETE
The lengthening;L'allongement;C1;2;ABSTRACT
The lens;La lentille;A2;5;CONCRETE
The leopard;Le léopard;B2;3;CONCRETE
The letter;La lettre;A2;8;CONCRETE
The level;Le niveau;B2;7;ABSTRACT
The liability;La responsabilité;B2;5;ABSTRACT
The library;La bibliothèque;A2;8;CONCRETE
The license;Le permis;B1;8;CONCRETE
The life;La vie;A1;10;ABSTRACT
The lift;L'ascenseur;A2;6;CONCRETE
The light;La lumière;A2;10;CONCRETE
The lightning;La foudre;B2;3;CONCRETE
The likelihood;La probabilité;B2;4;ABSTRACT
The limb;Le membre;B2;5;CONCRETE
The lime;La lime;A2;5;CONCRETE
The limit;La limite;B2;6;ABSTRACT
The line;La ligne;A2;9;CONCRETE
The link;Le lien;B1;7;CONCRETE
The lion;Le lion;A2;8;CONCRETE
The lip;La lèvre;B1;5;CONCRETE
The liquid;Le liquide;B2;7;CONCRETE
The list;La liste;A2;8;CONCRETE
The listener;L'auditeur/L'auditrice;B2;4;CONCRETE
The literature;La littérature;B2;8;ABSTRACT
The litter;La litière;A2;5;CONCRETE
The liver;Le foie;B2;6;CONCRETE
The living;La vie;B2;5;ABSTRACT
The lizard;Le lézard;A2;3;CONCRETE
The load;La charge;B2;5;CONCRETE
The loan;Le prêt;B2;5;CONCRETE
The lobby;Le hall;B2;4;CONCRETE
The location;L'emplacement;B1;6;CONCRETE
The lock;La serrure;A2;7;CONCRETE
The logic;La logique;B2;8;ABSTRACT
The loneliness;La solitude;B2;5;ABSTRACT
The long;Le long;A2;6;ABSTRACT
The look;Le regard;B1;7;CONCRETE
The loop;La boucle;B2;4;CONCRETE
The lord;Le seigneur;B2;5;CONCRETE
The loss;La perte;B2;5;ABSTRACT
The lot;Le lot;B2;4;CONCRETE
The lottery;La loterie;B1;6;CONCRETE
The lounge;Le salon;B2;5;CONCRETE
The love;L'amour;B1;8;ABSTRACT
The lover;L'amoureux/-se;B2;5;ABSTRACT
The low;Le point bas;B2;4;CONCRETE
The loyalty;La loyauté;B2;3;ABSTRACT
The luck;La chance;A2;8;ABSTRACT
The luggage;Les bagages;A2;9;CONCRETE
The lumber;Le bois d'œuvre;B2;5;CONCRETE
The lunch;Le déjeuner;A2;8;CONCRETE
The lung;Le poumon;B2;4;CONCRETE
The luxury;Le luxe;B2;6;ABSTRACT
The lyric;La parole lyrique;C1;3;ABSTRACT
