english;french;level;frequency
Gamy;Giboyeux;B2;2
Gargantuan;Gargantuesque;C2;3
Gaseous;Gazeux;B2;4
Gaudy;Tape-à-l'œil;B2;5
Geeky;Geek;B1;6
Generous;Généreux;B1;7
Gentle;Doux;B1;8
Genuine;Authentique;B2;9
Gesticulating;Gesticulant;C1;1
Ghastly;Lugubre;C1;2
Ghostly;Spectral;B2;4
Ghoulish;Macabre;C1;3
Giddy;Etourdi;B2;5
Gifted;Doué;B2;6
Giggly;Rieur;B2;4
Glazed;Vitré;B2;4
Gleaming;Luisant;B2;5
Glistening;Scintillant;C1;3
Glittering;Scintillant;C1;4
Glorious;Glorieux;B2;6
Glossy;Brillant;B2;5
Godly;Divin;B2;3
Golden;Doré;B1;6
Good;Bon(ne);A2;10
Goofy;Bouffon(ne);B2;2
Gorgeous;Magnifique;B2;7
Gothic;Gothique;B2;4
Graceful;Gracieux(se);B2;3
Gracious;Courtois(e);C1;4
Grand;Grand(e);A2;9
Grandiose;Grandiose;C2;4
Grateful;Reconnaissant;B2;5
Grating;Irritant;B2;3
Gray;Gris;A1;6
Greasy;Gras;B2;4
Great;Grand;A1;10
Greedy;Avide;B2;5
Green;Vert;A1;10
Gregarious;Sociable;C1;2
Grimy;Sale;B2;3
Grisly;Horrible;C1;3
Groovy;Super;B2;5
Grouchy;Grincheux;B2;4
Grubby;Sale;B2;4
Grungy;Délabré;C1;2
Guilty;Coupable;B2;7
Gullible;Crédule;C1;3
Gummy;Gommeux;B2;3
