english;french;level;frequency;type
an umbrella;un parapluie;A2;8
an uncle;un oncle;A1;7
an understanding;une compréhension;B2;5
an undertaking;une entreprise;C1;4
an underwear;un sous-vêtement;B2;4
an unicorn;une licorne;A2;2
an union;un syndicat;B2;6
an uniqueness;une singularité;C1;3
an university;une université;A2;9
an uprising;une révolte;C1;3
an urge;un besoin pressant;B2;5
an usage;une utilisation;B2;4
an usher;un huissier;B2;2
an utensil;un ustensile;B2;4
an utility;une utilité;B2;5
an utterance;une déclaration;C1;3
