english;french;level;frequency;type
an iceberg;un iceberg;B2;3;CONCRETE
an idea;une idée;A2;9;ABSTRACT
an idol;une idole;B2;4;CONCRETE
an igloo;un igloo;A2;5;CONCRETE
an iguana;un iguane;B2;2;CONCRETE
an illusion;une illusion;B2;4;ABSTRACT
an image;une image;A2;9;CONCRETE
an inch;un pouce;B1;5;CONCRETE
an infection;une infection;B2;6;CONCRETE
an injury;une blessure;B1;7;CONCRETE
an inmate;un détenu;B2;5;CONCRETE
an insect;un insecte;A2;8;CONCRETE
an inspector;un inspecteur;B2;5;CONCRETE
an instructor;un instructeur;B2;4;CONCRETE
an instrument;un instrument;A2;9;CONCRETE
an intake;une admission;B2;5;CONCRETE
an intelligence;une intelligence;B2;6;ABSTRACT
an intention;une intention;B1;7;ABSTRACT
an intersection;une intersection;B2;4;CONCRETE
an intervention;une intervention;B2;5;CONCRETE
an interview;un entretien;B2;7;CONCRETE
an introduction;une introduction;B1;8;CONCRETE
an invasion;une invasion;B2;4;CONCRETE
an investor;un investisseur;B2;5;CONCRETE
an invitation;une invitation;A2;9;CONCRETE
an invoice;une facture;B2;6;CONCRETE
an involvement;une implication;C1;5;ABSTRACT
an iris;une iris;B2;3;CONCRETE
an iron;un fer;A2;6;CONCRETE
an island;une île;A2;8;CONCRETE
an isolation;une isolation;B2;5;ABSTRACT
an item;un article;A2;8;CONCRETE
an itinerary;un itinéraire;B1;4;ABSTRACT
an ivory;de l'ivoire;B2;2;CONCRETE
