english;french;level;frequency;type;info
to reach;atteindre;B2;7
to read;lire;A1;10
to realize;réaliser;B2;6
to reap;récolter;C1;3
to rearrange;réarranger;C1;2
to rebel;se rebeller;B2;4
to rebuild;rebâtir;B2;5
to recharge;recharger;B1;4
to recite;réciter;B1;5
to reclaim;récupérer;B2;6
to reconcile;réconcilier;B2;5
to reconnect;reconnecter;B2;4
to reconsider;reconsidérer;B2;5
to recreate;recréer;B2;4
to redecorate;redécorer;B2;4
to redefine;redéfinir;B2;5
to redesign;redessiner;B2;4
to redirect;rediriger;B2;5
to rediscover;redécouvrir;B2;4
to redistribute;redistribuer;B2;5
to reduce;réduire;B2;7
to reel;enrouler;B2;4
to reenact;rejouer;B2;2
to reestablish;rétablir;B2;5
to reexamine;réexaminer;B2;4
to refer;référer;B2;6
to refine;affiner;B2;5
to reflect;réfléchir;B2;7
to reform;réformer;B2;6
to refresh;rafraîchir;B2;5
to refrigerate;réfrigérer;B2;4
to refuel;faire le plein;B2;5
to refuse;refuser;A2;8
to refute;réfuter;C1;2
to regain;récupérer;B2;5
to regard;regarder;A1;10
to register;enregistrer;A2;9
to regret;regretter;B1;7
to regulate;réguler;C1;4
to rehearse;répéter;B1;6
to rejoice;se réjouir;B2;4
to relax;se détendre;B1;5
to rely;compter sur;B2;5
to remember;se souvenir de;A2;6
to repair;réparer;B1;5
to reproduce;reproduire;B2;3
to resist;résister;B2;5
to ride;monter (à cheval, à vélo);A2;4
to run;courir;A1;8
