english;french;level;frequency;type
Jadedly;Laschement;C1;2;Manner
Jaggedly;De manière irrégulière;B2;3;Manner
Jarringly;De manière discordante;C1;2;Manner
Jealously;Jalousement;B2;5;Degree
Jestingly;En plaisantant;C1;4;Manner
Jocosely;Jocosely;C1;3;Manner
Jokingly;En plaisantant;B2;5;Manner
Jovially;Jovialement;B2;4;Manner
Joyfully;Joyeusement;A2;6;Manner
Jubilantly;Jubilatoirement;C1;3;Manner
Judgmentally;De manière critique;C1;4;Manner
Juicily;De manière juteuse;B2;2;Manner
Jumblingly;De manière confuse;C1;1;Manner
Just;Juste;A2;10;Degree
