english;french;level;frequency;type;info
to dance;danser;A2;7;ACTION;REGULAR
to dare;oser;B2;5;ACTION;REGULAR
to deal;traiter;B2;6;ACTION;REGULAR
to debate;débattre;B2;4;ACTION;REGULAR
to decay;décliner;C1;3;STATE;REGULAR
to deceive;tromper;C1;6;ACTION;REGULAR
to decide;décider;B1;8;ACTION;REGULAR
to decorate;décorer;A2;5;ACTION;REGULAR
to dedicate;dédier;B2;3;ACTION;REGULAR
to defend;défendre;A2;7;ACTION;REGULAR
to define;définir;B2;7;ACTION;REGULAR
to delay;retarder;B2;5;ACTION;REGULAR
to delight;ravir;B2;4;STATE;REGULAR
to deliver;livrer;B1;6;ACTION;REGULAR
to demand;exiger;B2;7;ACTION;REGULAR
to demonstrate;démontrer;B2;6;ACTION;REGULAR
to denounce;dénoncer;B2;5;ACTION;REGULAR
to depend;dépendre;A2;8;STATE;IRREGULAR
to depict;dépeindre;B2;4;ACTION;REGULAR
to deplete;épuiser;C1;3;ACTION;REGULAR
to deposit;déposer;B1;6;ACTION;REGULAR
to deprive;priver;B2;4;ACTION;REGULAR
to derive;dériver;C1;3;ACTION;REGULAR
to descend;descendre;A2;8;ACTION;REGULAR
to describe;décrire;A2;9;ACTION;REGULAR
to deserve;mériter;B2;6;ACTION;REGULAR
to design;concevoir;B2;5;ACTION;REGULAR
to destroy;détruire;B1;6;ACTION;REGULAR
to detect;détecter;B2;5;ACTION;REGULAR
to determine;déterminer;B2;5;ACTION;REGULAR
to develop;développer;B2;8;ACTION;REGULAR
to devote;consacrer;B2;6;ACTION;REGULAR
to diagnose;diagnostiquer;C1;4;ACTION;REGULAR
to dictate;dicter;B2;5;ACTION;REGULAR
to die;mourir;A2;10;STATE;IRREGULAR
to differ;différer;B2;6;ACTION;REGULAR
to dig;creuser;A2;5;ACTION;REGULAR
to digest;digérer;B2;4;ACTION;REGULAR
to diminish;diminuer;B2;6;ACTION;REGULAR
to dine;dîner;A2;5;ACTION;REGULAR
to dip;plonger;B1;5;ACTION;REGULAR
to direct;diriger;B2;7;ACTION;REGULAR
to disagree;ne pas être d'accord;B2;6;STATE;REGULAR
to disappear;disparaître;A2;7;STATE;REGULAR
to discover;découvrir;A2;8;ACTION;REGULAR
to discuss;discuter;B2;7;ACTION;REGULAR
to dislike;ne pas aimer;B1;5;STATE;REGULAR
to dismantle;démanteler;C1;3;ACTION;REGULAR
to dismiss;rejeter;B2;6;ACTION;REGULAR
to disobey;désobéir;B2;4;ACTION;REGULAR
to display;afficher;B2;7;ACTION;REGULAR
to dispose;se débarrasser de;B2;4;ACTION;REGULAR
to distinguish;distinguer;B2;6;ACTION;REGULAR
to distribute;distribuer;B1;6;ACTION;REGULAR
to disturb;déranger;B1;6;ACTION;REGULAR
