english;french;level;frequency;type
T-shirt;T-shirt;A2;9
TV;Télévision;A2;10
Table;Table;A1;10
Taco;Taco;B1;3
Taffy;Bonbon;B2;1
Tambour;Tambour;C1;2
Tambourine;Tambourin;B2;2
Tangerine;Mandarine;B1;3
Tank;Réservoir;B2;6
Tap;Robinet;A2;7
Tape;Ruban adhésif;A2;8
Tarmac;Revêtement de sol;B2;4
Tassel;Gland;C1;2
Tea;Thé;A1;10
Teapot;Théière;A2;5
Teaspoon;Cuillère à thé;A2;6
Telephone;Téléphone;A2;10
Telescope;Télescope;B2;5
Television;Télévision;A2;10
Tennis;Tennis;A2;8
Tent;Tente;A2;5
Theater;Théâtre;A2;6
Thermometer;Thermomètre;B1;4
Thimble;Dé à coudre;B2;2
Thread;Fil;A2;6
Throne;Trône;C1;2
Ticket;Billet;A2;8
Tie;Cravate;A2;7
Tiger;Tigre;A2;4
Tile;Carreau;A2;5
Time;Temps;A2;10
Tin;Étain;B2;3
Tire;Pneu;B1;6
Tissue;Mouchoir;A2;5
Toaster;Grille-pain;A2;4
Toe;Orteil;A2;7
Tomato;Tomate;A1;9
Tongs;Pince;B2;4
Tongue;Langue;A2;8
Tooth;Dent;A1;10
Toothbrush;Brosse à dents;A2;9
Top;Haut/Sommet;B1;6
Torch;Lampe de poche;B2;5
Tornado;Tornade;C1;2
Towel;Serviette;A2;8
Toy;Jouet;A1;10
Tractor;Tracteur;A2;5
Train;Train;A1;10
Tram;Tramway;B1;4
Trampoline;Trampoline;B2;3
Tray;Plateau;A2;5
Tree;Arbre;A1;10
Triangle;Triangle;A2;6
Tricycle;Tricycle;A2;3
Trolley;Chariot;B1;5
Trombone;Trombone;B2;3
Trophy;Trophée;B2;4
Trousers;Pantalon;A2;7
Truck;Camion;A2;8
Trumpet;Trompette;B1;4
Trunk;Tronc;A2;6
Tuba;Tuba;B2;4
Tulip;Tulipe;A2;3
Tuna;Thon;B2;5
Tunnel;Tunnel;B1;6
Turban;Turban;B2;3
Turkey;Dinde;A2;4
Turnip;Navet;A2;3
Turtle;Tortue;A2;4
Tweezers;Pince à épiler;B2;3
Twig;Brindille;A2;4
Twilight;Crépuscule;B2;8
Twine;Ficelle;B2;5
Twist;Torsion;B2;6
Typewriter;Machine à écrire;B1;3
Typhoon;Typhon;C1;2
Tyrannosaurus;Tyrannosaure;B2;3
