english;french;level;frequency;type;info
to make;fabriquer;A2;10
to march;marcher;A2;7
to marry;se marier;A2;6
to melt;fondre;B1;5
to memorize;mémoriser;B2;4
to mend;réparer;B2;5
to mention;mentionner;B2;6
to merge;fusionner;C1;4
to migrate;migrer;B2;4
to milk;traire;B2;3
to mine;extraire;B2;4
to mislead;induire en erreur;C1;3
to miss;manquer/rater;A2;7
to mix;mélanger;A2;8
to moan;gémir;C1;2
to modify;modifier;B1;6
to monitor;surveiller;B2;5
to motivate;motiver;B2;5
to mourn;pleurer;C1;2
to move;bouger/déménager;A2;9
to mow;tondre;A2;5
to multiply;multiplier;A2;6
to murder;assassiner;B2;4
to mutter;murmurer;B2;3
