english;french;level;frequency
Icy;Glacial;B2;4
Illuminating;Éclairant;C1;5
Illustrious;Illustre;C2;3
Imaginative;Imaginatif;B2;5
Immaculate;Immaculé;C1;4
Immediate;Immédiat;B2;7
Immense;Immense;B2;6
Impartial;Impartial;C1;5
Impeccable;Impeccable;C1;6
Impressive;Impressionnant;B2;7
Improper;Inapproprié;B2;6
Impulsive;Impulsif;B2;5
Inane;Inintéressant;C1;3
Inanimate;Inanimé;B2;4
Inarticulate;Inarticulé;C1;3
Inborn;Inné;C1;4
Incandescent;Incandescent;C2;5
Incapable;Incapable;B2;6
Incessant;Incessant;C1;4
Incidental;Incidentel;B2;5
Inclusive;Inclusif/Inclusive;B2;6
Incoherent;Incohérent/Incohérente;B2;5
Incomparable;Incomparable;B2;5
Incomprehensible;Incompréhensible;B2;5
Inconsequential;Insignifiant/Inconsequential;C1;4
Inconsiderate;Insouciant;C1;5
Incorrigible;Endurci;C1;3
Incredible;Incroyable;B2;8
Indecisive;Indécis;B2;6
Indefatigable;Infatigable;C1;4
Indelible;Indélébile;B2;5
Independent;Indépendant;B2;7
Indescribable;Indescriptible;C1;3
Indestructible;Indestructible;B2;4
Indifferent;Indifférent;B1;6
Indigenous;Autochtone;B2;5
Indigo;Indigo;B2;3
Indispensable;Indispensable;B2;6
Indisputable;Indiscutable;C1;4
Indistinct;Indistinct;B2;4
Individual;Individuel(le);B2;6
Indivisible;Indivisible;C1;4
Indomitable;Indomptable;C2;2
Indubitable;Indubitable;C1;3
Industrial;Industriel(le);B2;8
Inedible;Non comestible;B2;4
Ineffable;Indicible;C2;3
Ineffective;Inefficace;B2;6
Inefficient;Inefficace;B2;5
Inept;Incompétent;B2;5
Inert;Inerte;C1;4
Inevitable;Inévitable;B2;7
Inexpensive;Peu coûteux;B1;6
Inexperienced;Inexpérimenté;B2;5
Inexplicable;Inexplicable;C1;4
Inexpressible;Inexprimable;C2;2
Inextricable;Inextricable;C1;3
Infallible;Infaillible;C1;4
Infamous;Infâme;C1;4
Infantile;Infantile;B2;5
Infectious;infectieux/-se;B2;6
Inferior;inférieur/-e;B2;4
Infinite;infini/-e;C1;3
Inflamed;inflammé/-e;B2;4
Influential;influent/-e;C1;5
Informal;Informel;B2;6
Ingenious;Ingénieux;C1;5
Ingenuous;Ingénu;C2;3
Inhuman;Inhumain;C1;4
Inimitable;Inimitable;C1;4
Injured;Blessé(e);B1;5
Injurious;Nuisible;C1;2
Innocent;Innocent(e);B2;6
Innovative;Innovant(e);B2;7
Inquisitive;Curieux/Curieuse;B2;5
Insane;Fou/Folle;C1;6
Inscrutable;Insondable;C2;3
Insecure;Insécurisé/Peu sûr;B2;5
Insidious;Insidieux/Perfide;C1;4
Insightful;Perspicace;C1;3
Inspiring;Inspirant;B2;6
Instant;Instantané;B2;5
Instructive;Instructif;B2;4
Insufficient;Insuffisant;B2;5
Insulting;Insultant;C1;3
Intangible;Intangible;C1;3
Integral;Intégral;B2;5
Intelligent;Intelligent;B2;6
Intense;Intense;B2;7
Intensive;Intensif;B2;6
Interchangeable;Interchangeable;B2;5
Interesting;Intéressant;A2;8
Interminable;Interminable;B2;4
Internal;Interne;B2;6
International;International;B2;8
Intrepid;Intrépide;C1;5
Intricate;Intriqué;C1;4
Intriguing;Intrigant;B2;6
Intrinsic;Intrinsèque;C1;5
Intuitive;Intuitif;B2;7
Invaluable;inestimable;C1;6
Inventive;inventif;B2;5
Invincible;invincible;C1;5
Invisible;invisible;B1;7
Inviting;invitant;B2;4
Irate;Irrité;C1;5
Ironclad;Inébranlable;C1;3
Irresistible;Irrésistible;B2;6
Irresponsible;Irresponsable;B2;5
Irritating;Irritant;B2;6
Itchy;Qui gratte;A2;4
