english;french;level;frequency;type
a jacket;une veste;A2;8;CONCRETE
a jaguar;un jaguar;B2;3;CONCRETE
a jail;une prison;B2;4;CONCRETE
a jam;de la confiture;A2;6;CONCRETE
a jar;un pot;A2;7;CONCRETE
a jasmine;un jasmin;B2;3;CONCRETE
a jaw;une mâchoire;B2;4;CONCRETE
a jazz;un jazz;B2;5;ABSTRACT
a jeep;un jeep;B1;6;CONCRETE
a jelly;une gelée;B2;4;CONCRETE
a jellyfish;une méduse;B1;3;CONCRETE
a jersey;un maillot;A2;5;CONCRETE
a jet;un jet;B2;6;CONCRETE
a jewel;un bijou;B1;5;CONCRETE
a jigsaw;un puzzle;A2;4;CONCRETE
a jingle;un tintement;B1;4;CONCRETE
a job;un travail;A2;10;CONCRETE
a jog;un footing;B2;5;CONCRETE
a joint;une articulation;B2;6;CONCRETE
a joke;une blague;A2;9;ABSTRACT
a journalist;un journaliste;B2;7;CONCRETE
a journey;un voyage;A2;8;CONCRETE
a joy;une joie;B1;6;ABSTRACT
a judge;un juge;B2;6;CONCRETE
a judgment;un jugement;B2;6;ABSTRACT
a juice;un jus;A2;7;CONCRETE
a jump;un saut;A2;6;CONCRETE
a jungle;une jungle;B2;4;CONCRETE
a junior;un(e) junior;B1;5;CONCRETE
a junk;un tas de déchets;B2;3;CONCRETE
a jury;un jury;B2;5;CONCRETE
a justice;une justice;B2;6;ABSTRACT
a justification;une justification;B2;5;ABSTRACT
a jute;un jute;B2;2;CONCRETE
a juxtaposition;une juxtaposition;C1;2;ABSTRACT
