english;french;level;frequency;type
Lamentably;Malheureusement;C1;3;Manner
Largely;Largement;B2;7;Degree
Lasciviously;Lascivement;C2;1;Manner
Lately;Récemment;A2;9;Time
Lavishly;Somptueusement;C1;4;Manner
Laxly;Lâchement;B2;2;Manner
Lazily;Paresseusement;A2;7;Manner
Lightly;Légèrement;A2;8;Manner
Lively;Vivement;B1;6;Manner
Lonesomely;Solitairement;C1;1;Degree
Loosely;Lâchement;B1;5;Manner
Loud;Fort;A2;7;Manner
Loudly;Fortement;A2;8;Manner
Lovingly;Avec amour;B2;4;Manner
Loyally;Loyalement;B2;3;Manner
Luckily;Heureusement;B2;6;Manner
Ludicrously;Absurument;C1;2;Manner
Luxuriously;Luxueusement;B2;5;Manner
