english;french;level;frequency;type;info
to kayak;faire du kayak;B1;3;ACTION;REGULAR
to keep;garder;A2;9;ACTION;REGULAR
to ken;connaître;C2;1;STATE;IRREGULAR
to kennel;mettre en chenil;C1;2;ACTION;REGULAR
to kept;gardé;B1;6;ACTION;REGULAR
to key;clé;B2;4;ACTION;REGULAR
to keynote;donner le discours d'ouverture;C1;2;ACTION;REGULAR
to kick;donner un coup de pied;A2;6;ACTION;REGULAR
to kid;plaisanter;B2;3;STATE;REGULAR
to kidnap;enlever;C1;4;ACTION;REGULAR
to kill;tuer;B2;7;ACTION;REGULAR
to kindle;allumer;B2;4;ACTION;REGULAR
to kiss;embrasser;A2;6;ACTION;REGULAR
to knead;pétrir;B2;3;ACTION;REGULAR
to kneel;s'agenouiller;B2;3;STATE;IRREGULAR
to knit;tricoter;A2;4;ACTION;REGULAR
to knock;frapper;B1;6;ACTION;REGULAR
to know;savoir;A2;10;STATE;IRREGULAR
to knowledge;instruire;C1;2;ACTION;REGULAR
to knuckle;frapper avec les phalanges;C2;1;ACTION;REGULAR
