english;french;level;frequency
passionate;passionné(e);B2;6
patient;patient(e);A2;8
peaceful;paisible;B2;4
perfect;parfait(e);B1;9
picturesque;pittoresque;B2;5
playful;espiègle;B1;5
pleasant;agréable;A2;8
poised;posé;C1;3
polite;poli;B1;9
popular;populaire;A2;10
positive;positif/positive;B1;7
powerful;puissant/puissante;B2;6
practical;pratique;B1;8
precious;précieux/précieuse;B2;5
pretty;joli/jolie;A2;9
pristine;vierge;C1;4
private;privé;B2;6
productive;productif;B2;5
profound;profond;C1;4
prompt;prompt;B2;6
proper;approprié;B2;6
proud;fier;B2;6
punctual;ponctuel;B2;5
pure;pur;B2;5
