english;french;level;frequency;type
an object;un objet;B1;8
an obligation;une obligation;B2;6
an observation;une observation;B2;6
an obstacle;un obstacle;B2;5
an occasion;une occasion;B1;7
an occupation;une occupation;B2;5
an ocean;un océan;A2;5
an offer;une offre;B1;7
an office;un bureau;A2;8
an officer;un officier;B2;5
an offspring;une progéniture;B2;4
an oil;une huile;A2;8
an onion;un oignon;A2;6
an opening;une ouverture;B2;4
an opera;un opéra;B2;4
an operation;une opération;B2;6
an operator;un opérateur;B2;4
an opinion;une opinion;B1;8
an opportunity;une opportunité;B1;6
an opposition;une opposition;B2;6
an option;une option;B1;6
an orange;une orange;A2;8
an orbit;une orbite;C1;3
an orchestra;un orchestre;B2;4
an order;un ordre;B1;7
an organization;une organisation;B2;6
an origin;une origine;B2;4
an outcome;un résultat;C1;5
an outlet;une prise de courant;B2;3
an outline;un plan;B2;5
an oven;un four;A2;8
an owner;un propriétaire;B2;5
an ox;un bœuf;A2;3
