english;french;level;frequency
Eager;Enthousiaste;B2;6
Early;Tôt;A2;7
Earnest;Sérieux;B2;4
Earthy;Terreux;C1;2
Easy;Facile;A1;10
Eccentric;Excentrique;C1;5
Eclectic;Éclectique;B2;4
Economic;Économique;A2;8
Edgy;Audacieux/-euse;B2;3
Educated;Cultivé;B2;6
Effective;Efficace;B2;7
Effervescent;Effervescent;B2;4
Efficient;Efficace;B2;8
Elaborate;Elaboré;C1;5
Elastic;Élastique;B2;6
Elated;Ravi(e);B2;5
Elderly;Âgé(e);A2;7
Electric;Électrique;B1;8
Elegant;Élégant(e);B2;6
Elemental;Élémentaire;C1;4
Elevated;Surélevé;B2;5
Eligible;Éligible;B2;4
Elite;Élite;C1;6
Embarrassed;Embarrassé;B1;5
Embellished;Orné;C1;3
Emotionless;Sans émotion;C1;3
Empathetic;Empathique;B2;5
Empowered;Habilité;C1;4
Empty;Vide;A2;7
Enchanting;Envoûtant;B2;4
Encouraging;Encourageant;B2;6
Endearing;Attachant;B2;4
Endless;Sans fin;B2;5
Energetic;Énergique;B2;6
Engaging;Captivant;B2;5
Enjoyable;Agréable;B1;6
Enormous;Énorme;B2;7
Enthusiastic;Enthousiaste;B2;6
Entire;Entier;B1;5
Entitled;Intitulé;B2;4
Envious;Envieux/-se;B2;4
Environmental;Environnemental/-e;B2;6
Epic;Epique;C1;3
Equal;Egal/-e;B1;7
Equipped;Equipé/-e;B2;5
Erotic;érotique;C1;5
Erratic;erratique;C1;4
Essential;essentiel;B2;8
Eternal;éternel;B2;6
Ethereal;éthéré;C1;3
