english;french;level;frequency
obedient;obéissant;B1;6
obese;obèse;B2;4
oblong;oblong;C1;2
obnoxious;odieux;C1;4
obscure;obscur;B2;5
observant;observateur;B2;4
obsolete;obsolète;B2;5
obtuse;obtus;C1;3
odd;étrange;B1;7
odious;odieux;C1;3
offensive;offensif/ive;C1;6
official;officiel/le;B2;8
oily;huileux/euse;B2;4
old;vieux/vieille;A1;10
old-fashioned;démodé(e);B2;5
ominous;menaçant(e);C1;3
open;ouvert(e);A2;10
operational;opérationnel/le;C1;5
opposite;opposé(e);B1;7
optimal;optimal(e);C1;4
optimistic;optimiste;B2;6
orange;orange;A2;8
ordinary;ordinaire;B1;7
organic;bio;B2;5
original;original;B2;7
ornate;orné;C1;2
other;autre;A1;10
outgoing;extraverti;B2;4
outrageous;scandaleux;C1;3
outstanding;exceptionnel;B2;6
oval;ovale;B1;5
overconfident;trop confiant;C1;3
overjoyed;ravi;B2;4
overrated;surestimé;B2;4
overt;manifeste;C1;5
overwhelmed;submergé;B2;4
overzealous;excessif;C2;2
own;propre;A2;10
oxygenated;oxygéné;C1;3
