english;french;level;frequency;type
Faintly;Faiblement;B1;4
Famously;Célèbrement;B2;5
Far;Loin;A1;8
Fast;Vite;A1;10
Fatally;Fatalement;C1;3
Ferociously;Féroce;C2;2
Fervently;Fervemment;C1;4
Fiercely;Fièrement;B2;4
Finally;Finalement;A2;9
Financially;Financièrement;B2;7
Fine;Bien;B2;5
Firmly;Fermement;B2;4
Firstly;Premièrement;B2;5
Flatly;Platement;C1;2
Fondly;Affectueusement;B2;3
Forcibly;De force;C1;3
Forever;Pour toujours;B2;5
Formally;Formellement;B2;4
Fortunately;Heureusement;B2;6
Frequently;Fréquemment;B1;8
