english;french;level;frequency;type
Abnormally;Anormalement;B2;4
Absolutely;Absolument;A2;9
Actually;En fait;B1;8
Afar;Loin;C1;3
Alike;De même;B2;3
Almost;Presque;A2;10
Already;Déjà;A2;9
Also;Aussi;A1;10
Altogether;Complètement;B2;5
Always;Toujours;A1;10
Anew;À nouveau;B2;3
Angrily;Avec colère;B2;5
Anxiously;Anxieusement;B2;4
Anyway;De toute façon;B1;7
Anywhere;N'importe où;A2;6
Aside;À part;B2;4
Astonishingly;Étonnamment;C1;3
Avidly;Avidement;C1;2
Awhile;Un moment;B2;3
Awkwardly;Maladroitement;B2;4
