english;french;level;frequency;type
a dancer;un danseur/danseuse;B1;6;CONCRETE
a danger;un danger;A2;8;ABSTRACT
a darkness;une obscurité;B2;4;ABSTRACT
a dart;un projectile/dard;B2;3;CONCRETE
a data;des données;B2;10;ABSTRACT
a daydream;un rêve éveillé;B2;3;ABSTRACT
a deadline;une date limite;B2;6;CONCRETE
a deal;un accord;B2;8;CONCRETE
a debate;un débat;B2;7;ABSTRACT
a debt;une dette;B2;8;CONCRETE
a decade;une décennie;B2;6;CONCRETE
a decision;une décision;A2;9;ABSTRACT
a decoration;une décoration;B1;5;CONCRETE
a dedication;une dédicace;C1;2;ABSTRACT
a deer;un cerf;A2;4;CONCRETE
a deficiency;une insuffisance;B2;5;ABSTRACT
a definition;une définition;B1;8;ABSTRACT
a delay;un retard;B1;7;CONCRETE
a delight;un délice;B2;4;CONCRETE
a delivery;une livraison;B1;6;CONCRETE
a demand;une demande;B2;7;ABSTRACT
a democracy;une démocratie;B2;8;ABSTRACT
a demonstration;une démonstration;B1;6;CONCRETE
a dentist;un dentiste;A2;7;CONCRETE
a department;un département;A2;8;CONCRETE
a departure;un départ;B1;6;CONCRETE
a dependence;une dépendance;B2;5;ABSTRACT
a deposit;un dépôt;B2;6;CONCRETE
a depression;une dépression;B2;6;ABSTRACT
a depth;une profondeur;B2;6;CONCRETE
a description;une description;B2;6;ABSTRACT
a desert;un désert;B1;4;CONCRETE
a design;un design;B2;7;ABSTRACT
a desire;un désir;B2;6;ABSTRACT
a desk;un bureau;A2;8;CONCRETE
a destruction;une destruction;B2;5;CONCRETE
a detail;un détail;A2;8;CONCRETE
a detective;un détective;B2;4;CONCRETE
a development;un développement;B1;6;ABSTRACT
a device;un dispositif;B2;7;CONCRETE
a diamond;un diamant;B2;5;CONCRETE
a dictionary;un dictionnaire;A2;8;CONCRETE
a difference;une différence;A2;9;ABSTRACT
a difficulty;une difficulté;A2;8;ABSTRACT
a dignity;une dignité;C1;4;ABSTRACT
a dime;un dixième;A2;6;CONCRETE
a dimension;une dimension;B2;5;ABSTRACT
a dinner;un dîner;A2;7;CONCRETE
a direction;une direction;A2;8;ABSTRACT
a director;un directeur;B2;6;CONCRETE
a dirt;une saleté;A2;5;CONCRETE
a disability;un handicap;B1;7;ABSTRACT
a disadvantage;un désavantage;B2;6;ABSTRACT
a disaster;une catastrophe;B2;8;CONCRETE
a discipline;une discipline;B2;6;ABSTRACT
a discovery;une découverte;B2;5;ABSTRACT
a discussion;une discussion;B1;7;ABSTRACT
a disease;une maladie;B1;9;CONCRETE
a dish;un plat;A2;8;CONCRETE
a display;une exposition;B2;6;CONCRETE
a distance;une distance;B1;7;CONCRETE
a distribution;une distribution;B2;6;ABSTRACT
a district;un quartier;A2;8;CONCRETE
a diversity;une diversité;B2;5;ABSTRACT
a division;une division;B2;7;ABSTRACT
a divorce;un divorce;B1;5;ABSTRACT
a doctor;un docteur;B2;8;CONCRETE
a document;un document;B1;7;CONCRETE
a dog;un chien;A1;10;CONCRETE
a doll;une poupée;A2;4;CONCRETE
a dolphin;un dauphin;B1;4;CONCRETE
a domain;un domaine;B2;3;ABSTRACT
a donation;un don;B2;5;ABSTRACT
a donkey;un âne;A2;3;CONCRETE
a door;une porte;A1;10;CONCRETE
a dose;une dose;B2;5;CONCRETE
a dot;un point;A2;7;CONCRETE
a double;un double;B2;5;CONCRETE
a doubt;un doute;B1;8;ABSTRACT
a dozen;une douzaine;A2;6;CONCRETE
a dragon;un dragon;B2;3;CONCRETE
a drama;un drame;B2;5;ABSTRACT
a draw;un tirage;B2;4;CONCRETE
a drawer;un tiroir;A2;6;CONCRETE
a dream;un rêve;B1;8;ABSTRACT
a dress;une robe;A2;7;CONCRETE
a drink;une boisson;A1;9;CONCRETE
a drive;une conduite;B2;6;ABSTRACT
a driver;un conducteur;A2;6;CONCRETE
a drop;une goutte;B2;5;CONCRETE
a drug;un médicament;B2;7;CONCRETE
a drum;un tambour;A2;5;CONCRETE
a duck;un canard;A1;6;CONCRETE
a due;dû;B2;3;ABSTRACT
a dump;un dépotoir;B2;4;CONCRETE
a duration;une durée;B1;5;ABSTRACT
a dust;une poussière;B2;6;CONCRETE
a duty;un devoir/une responsabilité;B2;7;ABSTRACT
