english;french;level;frequency
radiant;rayonnant;B2;5
rare;rare;B1;6
rash;imprudent - éruption cutanée;C1;3
rational;rationnel;B2;6
raw;cru;B1;7
ready;prêt;A2;8
real;réel;B1;7
reasonable;raisonnable;B2;6
reassuring;rassurant;B2;4
rebel;rebelle;B2;5
receptive;réceptif-ve;B2;5
reckless;téméraire;C1;4
rectangular;rectangulaire;B2;3
red;rouge;A1;10
redundant;redondant-e;C1;3
reflective;réfléchi(e);B2;5
refreshing;rafraîchissant(e);B2;4
regal;royal(e);C1;3
regular;régulier(-ière);A2;7
reliable;fiable;B1;6
remarkable;remarquable;B2;6
remote;éloigné;B2;5
renewable;renouvelable;B2;4
renowned;célèbre;C1;5
repetitive;répétitif;B2;5
reptilian;reptilien;C1;3
resilient;résilient;C1;5
resolute;résolu;B2;6
resonant;résonnant;C1;4
respectful;respectueux;B2;7
responsible;responsable;B2;8
restless;agité;B2;4
rich;riche;A2;7
ridiculous;ridicule;B2;5
right;juste;A2;10
rigid;rigide;B2;6
ripe;mûr;A2;5
ritzy;luxueux;C1;2
roasted;rôti;B2;4
robust;robuste;B2;5
romantic;romantique;B1;6
rosy;rosé;B2;4
rotten;pourri;B2;3
rough;rugueux;B2;5
round;rond;A2;8
rowdy;turbulent;B2;4
royal;royal;B2;6
rubbery;rubbery;C1;2
rude;rude;B1;7
rugged;rugged;B2;5
