english;french;level;frequency;type;info
to tackle;s'attaquer à;B2;6;ACTION;REGULAR
to take;prendre;A1;10;ACTION;IRREGULAR
to talk;parler;A1;10;ACTION;REGULAR
to target;cibler;B2;5;ACTION;REGULAR
to taste;goûter;A2;7;STATE;REGULAR
to teach;enseigner;B2;7;ACTION;REGULAR
to tell;dire;A2;10;ACTION;REGULAR
to tend;avoir tendance à;B2;4;STATE;REGULAR
to terminate;mettre fin à;C1;5;ACTION;REGULAR
to test;tester;B2;6;ACTION;REGULAR
to testify;témoigner;B2;5;ACTION;REGULAR
to thaw;dégeler;B2;3;ACTION;REGULAR
to think;penser;A2;10;STATE;IRREGULAR
to thrive;prospérer;C1;2;STATE;REGULAR
to throw;jeter;A2;9;ACTION;IRREGULAR
to thunder;tonner;B2;3;ACTION;REGULAR
to tick;cocher;B2;4;ACTION;REGULAR
to tickle;chatouiller;B2;3;ACTION;REGULAR
to tie;attacher;A2;7;ACTION;REGULAR
to tint;teinter;B2;4;ACTION;REGULAR
to tolerate;tolérer;B2;6;ACTION;REGULAR
to topple;renverser;B2;5;ACTION;REGULAR
to tour;visiter;B1;4;ACTION;REGULAR
to track;pister;B2;5;ACTION;REGULAR
to trade;échanger;B2;6;ACTION;REGULAR
to trail;suivre à la trace;B2;4;ACTION;REGULAR
to train;former;B1;7;ACTION;REGULAR
to transcend;transcender;C1;2;STATE;REGULAR
to transcribe;transcrire;B2;3;ACTION;REGULAR
to transfer;transférer;B2;6;ACTION;REGULAR
to transform;transformer;B2;6;ACTION;REGULAR
to translate;traduire;B1;8;ACTION;REGULAR
to transmit;transmettre;B1;6;ACTION;REGULAR
to transpose;transposer;C1;3;ACTION;REGULAR
to trap;piéger;B2;4;ACTION;REGULAR
to travel;voyager;B1;7;ACTION;REGULAR
to treat;traiter;B2;8;ACTION;REGULAR
to tremble;trembler;B1;4;STATE;REGULAR
to trick;tromper;B2;5;ACTION;REGULAR
to trigger;déclencher;B2;6;ACTION;REGULAR
to trim;tailler;B1;5;ACTION;REGULAR
to trust;faire confiance;B2;6;STATE;IRREGULAR
to try;essayer;A2;7;ACTION;REGULAR
to tumble;dégringoler;C1;3;ACTION;IRREGULAR
to turn;tourner;A1;10;ACTION;REGULAR
to twist;tourner;B2;5;ACTION;REGULAR
to twitch;tressaillir;C1;2;STATE;REGULAR
to type;taper;A2;6;ACTION;REGULAR
