english;french;level;frequency
radiant;rayonnant;B2;5
rare;rare;B1;6
rash;imprudent - éruption cutanée;C1;3
rational;rationnel;B2;6
raw;cru;B2;5
ready;prêt;A2;8
real;réel;A2;10
reasonable;raisonnable;B2;6
reassuring;rassurant;B2;5
rebel;rebel;B2;4
receptive;réceptif-ve;B2;5
reckless;téméraire;C1;4
rectangular;rectangulaire;B2;3
red;rouge;A1;10
redundant;redondant-e;C1;2
reflective;réfléchi-e;B2;4
refreshing;rafraîchissant-e;B2;3
regal;royal-e;C1;2
regular;régulier-ère;A2;8
reliable;fiable;B1;6
remarkable;remarquable;B2;6
remote;éloigné;B2;5
renowned;célèbre;C1;5
repetitive;répétitif;B2;4
repulsive;répulsif;C1;3
resilient;résilient;C1;4
resolute;résolu;C1;4
resonant;résonnant;C1;3
respectful;respectueux;B2;6
responsible;responsable;B2;8
restless;agité;B2;5
rich;riche;A2;8
ridiculous;ridicule;B2;4
right;juste;B1;10
rigid;rigide;B2;5
ripe;mûr;B2;4
ritzy;luxueux;C1;2
roasted;rôti;B2;3
robust;robuste;C1;4
romantic;romantique;B1;7
rosy;rose;B1;4
rough;rugueux;B2;6
round;rond;A2;8
royal;royal;B2;5
rude;rude;B2;6
rugged;accidenté;C1;3
runny;liquide;B2;3
rustic;rustique;B2;4
