english;french;level;frequency;type;info
to paddle;pagayer;B1;4;ACTION;REGULAR
to paint;peindre;A2;7;ACTION;REGULAR
to parade;défiler;B2;5;ACTION;REGULAR
to participate;participer;A2;9;ACTION;REGULAR
to patrol;patrouiller;B2;3;ACTION;REGULAR
to peel;éplucher;A2;5;ACTION;REGULAR
to peep;jeter un coup d'œil;B2;3;ACTION;REGULAR
to perform;effectuer;B2;6;ACTION;REGULAR
to permit;autoriser;B2;7;STATE;REGULAR
to pick;cueillir;A2;6;ACTION;REGULAR
to pierce;percer;B2;4;ACTION;REGULAR
to pinch;pincer;B2;4;ACTION;REGULAR
to plant;planter;A2;5;ACTION;REGULAR
to play;jouer;A1;10;ACTION;REGULAR
to plead;plaider;C1;3;ACTION;REGULAR
to plow;labourer;B1;4;ACTION;REGULAR
to polish;polir;A2;5;ACTION;REGULAR
to ponder;réfléchir;B2;3;STATE;REGULAR
to pop;faire sauter;B2;4;ACTION;IRREGULAR
to position;positionner;B2;6;ACTION;REGULAR
to possess;posséder;B2;6;STATE;REGULAR
to postpone;reporter;B2;5;ACTION;REGULAR
to pour;verser;A2;5;ACTION;REGULAR
to praise;louer;B2;5;ACTION;REGULAR
to pray;prier;A2;5;ACTION;REGULAR
to preach;prêcher;B2;5;ACTION;REGULAR
to predict;prédire;B2;4;ACTION;REGULAR
to prefer;préférer;A2;6;ACTION;REGULAR
to prepare;préparer;A2;8;ACTION;REGULAR
to pretend;prétendre;B2;5;ACTION;REGULAR
to print;imprimer;A2;8;ACTION;REGULAR
to probe;sonder;B2;5;ACTION;REGULAR
to process;traiter;B2;6;ACTION;REGULAR
to proclaim;proclamer;C1;3;ACTION;REGULAR
to procure;procurer;C1;2;ACTION;REGULAR
to produce;produire;B2;6;ACTION;REGULAR
to program;programmer;B1;5;ACTION;REGULAR
to promise;promettre;A2;6;ACTION;REGULAR
to promote;promouvoir;B2;5;ACTION;REGULAR
to propose;proposer;B1;6;ACTION;REGULAR
to protect;protéger;B2;7;ACTION;REGULAR
to provide;fournir;B2;8;ACTION;REGULAR
to pull;tirer;A2;7;ACTION;REGULAR
to purchase;acheter;A2;9;ACTION;REGULAR
to pursue;poursuivre;B2;6;ACTION;REGULAR
to push;pousser;A2;6;ACTION;REGULAR
to put;mettre;A1;10;ACTION;REGULAR
