english;french;level;frequency
faint;faible;B1;5
famous;célèbre;B2;7
fancy;fantaisiste;B2;4
fantastic;fantastique;B1;6
far;loin;A1;10
faraway;lointain;B2;5
fast;rapide;A2;9
fat;gros(se);A2;8
faulty;défectueux(se);B2;3
fearful;effrayant(e);B2;4
fearless;intrépide;B2;6
feisty;caractériel;C1;3
feline;félin;B2;4
female;féminin;A2;10
feminine;féminin;B1;8
fertile;fertile;B2;5
festive;festif/festive;B2;4
few;peu;A2;8
fickle;changeant;C1;3
fierce;féroce;B2;5
filthy;sale;B2;5
fine;bien;B1;6
finished;terminé;B1;4
firm;ferme;B2;5
first;premier;A2;8
fit;en forme;B1;6
five;cinq;A1;8
fixed;fixe;B2;5
flaky;écailleux;C1;2
flamboyant;flamboyant;C1;4
flashy;tape-à-l'œil;B2;6
flat;plat;A2;8
flawed;défectueux;B2;4
flawless;parfait;C1;5
fledgling;novice;C1;3
fleshy;charnu(e);B2;4
flexible;flexible;B1;7
flimsy;fragile;B2;3
flippant;désinvolte;C1;2
flowery;fleuri(e);B2;5
fluent;fluide;C1;6
fluffy;doux comme de la ouate;B2;4
fluttering;voltigeant;B2;2
foamy;mousseux;B2;3
focused;concentré;B2;7
fond;affectueux(se);B1;5
foolish;insensé(e);B2;4
forbidden;interdit(e);B2;5
forceful;énergique;C1;3
foregoing;précédent(e);C1;2
foreign;étranger;B2;7
forensic;médicolégal;C1;3
formal;formel;B2;8
forsaken;abandonné;C1;2
forthright;franc;C2;4
fortunate;chanceux/chanceuse;B2;6
fragile;fragile;B2;7
frail;frêle;C1;4
frank;franc/franche;B2;6
frantic;frénétique;C1;5
frayed;effiloché;B2;3
free;libre;A2;10
frequent;fréquent;B2;8
fresh;frais;A2;9
friendly;amical;A2;9
frightened;effrayé;B1;6
frightening;effrayant;B2;7
frigid;frigide;C1;3
frilly;à volants;B2;2
frisky;espiègle;C1;4
frivolous;frivole;C1;5
front;avant;A2;7
frosty;glacé;B2;4
frozen;gelé;B2;5
frugal;économe;B2;6
fruitful;fructueux;B2;5
frustrated;frustré;B2;6
frustrating;frustrant;B2;5
full;plein;A2;10
fumbling;maladroit;C1;3
fun;amusant;A2;8
functional;fonctionnel;B2;6
fundamental;fondamental;C1;4
funny;drôle;B1;8
furry;velu;B2;3
furtive;furtif/ive;B2;4
fussy;tatillon/ne;B2;5
