english;french;level;frequency
obedient;obéissant;B1;6
obese;obèse;B2;4
oblong;oblong;C1;2
obnoxious;odieux;C1;5
observant;observateur;B2;6
obsolete;obsolète;C1;5
obtuse;obtus;C2;3
obvious;évident;B1;8
occasional;occasionnel;B2;6
oceanic;océanique;C1;4
odd;étrange;B2;6
odious;odieux;C1;3
offensive;offensant;B2;5
official;officiel;B2;8
oily;huileux;B2;4
old;vieux/vieille;A2;9
olive;olive;A2;4
ominous;menaçant(e);C1;2
only;seulement;A2;10
open;ouvert(e);A2;9
operational;opérationnel;B2;7
opposite;opposé;B1;6
optimal;optimal;B2;5
optimistic;optimiste;B2;6
orange;orange;A2;8
ordinary;ordinaire;A2;7
organic;organique;B2;5
oriental;oriental;B2;4
original;original;B2;6
ornamental;ornemental;C1;3
ornate;orné(e)-de-détails;C1;4
other;autre;A2;10
outgoing;sociable;B1;6
outlandish;bizarre;C1;3
outrageous;scandaleux/-euse;C1;5
outstanding;exceptionnel;C1;8
oval;ovale;B2;4
overconfident;trop confiant;C1;3
overjoyed;ravi;B2;5
overrated;surestimé;B2;6
overt;manifeste;C1;6
overwhelming;accablant;C1;5
own;propre;A2;10
oxidized;oxydé;B2;3
