english;french;level;frequency
hairy;poilu;B1;5
handsome;beau;B2;6
happy;heureux;A2;8
hard;dur;B1;7
harsh;sévère;C1;4
hasty;précipité;B2;5
healthy;sain;B1;7
hearty;copieux;B2;4
heavy;lourd;A2;8
helpful;serviable;B1;9
hidden;caché(e);B2;5
high;haut(e);A2;9
hilarious;hilare;B2;3
hollow;creux/creuse;B2;4
honest;honnête;B1;8
honorable;honorable;B2;5
hopeful;plein d'espoir;B2;4
horrible;horrible;B1;6
hot;chaud;A1;9
huge;énorme;B1;8
humorous;amusant(e)-drôle;B2;6
hungry;affamé(e);A2;8
hurtful;blessant(e);B2;4
husky;râpeux/rugueux-fort (pour une voix);B2;3
